"","taxon","link_direction","taxa_type","MH","WU","all","GM","PP","RG","NH","W","C","LP","RGyard","LU","NL","CSF","ST"
"16","01PLANT.Common Chickweed","lower","01PLANT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"17","01PLANT.Common Field Speedwell","lower","01PLANT",0,0,0.222222222222222,0,0,0,0,0,0.555555555555556,0,0,0,0,0.222222222222222,0
"18","01PLANT.Common Fleabane","lower","01PLANT",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"19","01PLANT.Common Mouse-ear","lower","01PLANT",0.0833333333333333,0,0.333333333333333,0,0.0833333333333333,0,0.333333333333333,0,0.0833333333333333,0.0833333333333333,0,0,0,0,0
"20","01PLANT.Common Poppy","lower","01PLANT",0,0,0.25,0,0,0.25,0,0,0.5,0,0,0,0,0,0
"21","01PLANT.Common Vetch","lower","01PLANT",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"22","01PLANT.Corn Mint","lower","01PLANT",0.222222222222222,0,0,0,0,0.777777777777778,0,0,0,0,0,0,0,0,0
"23","01PLANT.Corn Sowthistle","lower","01PLANT",0,0,0.692307692307692,0,0,0,0,0,0,0,0.307692307692308,0,0,0,0
"24","01PLANT.Corn Spurrey","lower","01PLANT",0,0,0.666666666666667,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0
"25","01PLANT.Cow Parsley","lower","01PLANT",0.747368421052632,0,0.0842105263157895,0.147368421052632,0,0.0210526315789474,0,0,0,0,0,0,0,0,0
"26","01PLANT.Creeping Buttercup","lower","01PLANT",0.046875,0,0.0234375,0.1875,0.166666666666667,0.151041666666667,0.111979166666667,0,0.127604166666667,0.122395833333333,0,0.0130208333333333,0.046875,0.00260416666666667,0
"27","01PLANT.Creeping Cinquefoil","lower","01PLANT",0,0,0.6,0,0,0.4,0,0,0,0,0,0,0,0,0
"28","01PLANT.Creeping Thistle","lower","01PLANT",0.204819277108434,0.00803212851405622,0.0281124497991968,0.0803212851405622,0.0642570281124498,0.261044176706827,0.120481927710843,0,0.0763052208835341,0.0763052208835341,0.0200803212851406,0,0.0200803212851406,0.0401606425702811,0
"29","01PLANT.Cuckooflower","lower","01PLANT",0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"30","01PLANT.Cut-leaved Crane's-bill","lower","01PLANT",0.666666666666667,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"31","01PLANT.Daisy","lower","01PLANT",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"32","01PLANT.Dandelion","lower","01PLANT",0,0,0.45,0.25,0.05,0.1,0,0,0,0.05,0,0.1,0,0,0
"33","01PLANT.Dock sp","lower","01PLANT",0.171875,0.1875,0.171875,0.078125,0.015625,0.015625,0.125,0,0.03125,0,0.203125,0,0,0,0
"34","01PLANT.Dog's Mercury","lower","01PLANT",0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
"35","01PLANT.Dogwood","lower","01PLANT",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"36","01PLANT.Elder","lower","01PLANT",0.428571428571429,0.333333333333333,0.238095238095238,0,0,0,0,0,0,0,0,0,0,0,0
"37","01PLANT.Elm sp","lower","01PLANT",0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"38","01PLANT.Field Forget-me-not","lower","01PLANT",0,0,0.333333333333333,0,0,0,0.0833333333333333,0,0.5,0,0,0,0.0833333333333333,0,0
"39","01PLANT.Field Madder","lower","01PLANT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","01PLANT.Field Maple","lower","01PLANT",0.409090909090909,0.454545454545455,0.0454545454545455,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0
"41","01PLANT.Field Pansy","lower","01PLANT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"42","01PLANT.Garlic Mustard","lower","01PLANT",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"43","01PLANT.Germander Speedwell","lower","01PLANT",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"44","01PLANT.Grass sp","lower","01PLANT",0.117391304347826,0.0521739130434783,0.0478260869565217,0.11304347826087,0.0956521739130435,0.117391304347826,0.173913043478261,0.0956521739130435,0.0434782608695652,0.0434782608695652,0.0565217391304348,0.0130434782608696,0.0260869565217391,0.00434782608695652,0
"45","01PLANT.Ground Ivy","lower","01PLANT",0.470588235294118,0,0.470588235294118,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0
"46","01PLANT.Groundsel","lower","01PLANT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"47","01PLANT.Hairy Tare","lower","01PLANT",0,0,0.538461538461538,0,0,0,0,0,0.461538461538462,0,0,0,0,0,0
"48","01PLANT.Hawkish Complex sp","lower","01PLANT",0,0,0.75,0.25,0,0,0,0,0,0,0,0,0,0,0
"49","01PLANT.Hawthorn","lower","01PLANT",0.390625,0,0.09375,0.0625,0,0.015625,0.421875,0.015625,0,0,0,0,0,0,0
"50","01PLANT.Hazel","lower","01PLANT",0.45,0.45,0,0,0,0,0.05,0.05,0,0,0,0,0,0,0
"51","01PLANT.Hedge Woundwort","lower","01PLANT",0.529411764705882,0,0.176470588235294,0,0,0.117647058823529,0.117647058823529,0.0588235294117647,0,0,0,0,0,0,0
"52","01PLANT.Herb Bennet","lower","01PLANT",0,0.222222222222222,0.777777777777778,0,0,0,0,0,0,0,0,0,0,0,0
"53","01PLANT.Herb Robert","lower","01PLANT",0.692307692307692,0,0.153846153846154,0,0,0,0,0.153846153846154,0,0,0,0,0,0,0
"54","01PLANT.Hogweed","lower","01PLANT",0.294573643410853,0,0.062015503875969,0.0310077519379845,0,0.527131782945736,0.0852713178294574,0,0,0,0,0,0,0,0
"55","01PLANT.Honeysuckle","lower","01PLANT",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","01PLANT.Ivy-leaved Speedwell","lower","01PLANT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"57","01PLANT.Knotgrass sp","lower","01PLANT",0.161290322580645,0.161290322580645,0.354838709677419,0,0,0,0.0967741935483871,0,0,0,0.225806451612903,0,0,0,0
"58","01PLANT.Lesser Burdock","lower","01PLANT",0,0,0.714285714285714,0,0,0,0,0.285714285714286,0,0,0,0,0,0,0
"59","01PLANT.Lesser Stitchwort","lower","01PLANT",0.5,0,0.357142857142857,0,0,0,0.142857142857143,0,0,0,0,0,0,0,0
"60","01PLANT.Lesser Trefoil","lower","01PLANT",0,0,0.833333333333333,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0
"61","01PLANT.Mayweed sp","lower","01PLANT",0,0,0.0384615384615385,0,0.0448717948717949,0.307692307692308,0.00641025641025641,0,0.41025641025641,0.00641025641025641,0.0256410256410256,0,0.16025641025641,0,0
"62","01PLANT.Meadow Buttercup","lower","01PLANT",0,0,0.777777777777778,0,0,0,0,0,0.222222222222222,0,0,0,0,0,0
"63","01PLANT.Nipplewort","lower","01PLANT",0.222222222222222,0.111111111111111,0.666666666666667,0,0,0,0,0,0,0,0,0,0,0,0
"64","01PLANT.Oak","lower","01PLANT",0.137254901960784,0.235294117647059,0.196078431372549,0,0,0,0,0.137254901960784,0.0980392156862745,0,0,0,0,0,0.196078431372549
"65","01PLANT.Oil Seed Rape","lower","01PLANT",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"66","01PLANT.Parsley Piert","lower","01PLANT",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"67","01PLANT.Persicaria sp","lower","01PLANT",0.166666666666667,0,0.366666666666667,0.133333333333333,0,0,0.1,0,0,0,0.233333333333333,0,0,0,0
"68","01PLANT.Pineappleweed","lower","01PLANT",0,0,0,0,0,0.6,0,0,0,0,0.4,0,0,0,0
"69","01PLANT.Plantain sp","lower","01PLANT",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"70","01PLANT.Ragwort","lower","01PLANT",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"71","01PLANT.Ramsons","lower","01PLANT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"72","01PLANT.Red Campion","lower","01PLANT",0.772727272727273,0.0454545454545455,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0
"73","01PLANT.Red Dead-nettle","lower","01PLANT",0.269230769230769,0,0.307692307692308,0,0,0,0,0,0,0,0.423076923076923,0,0,0,0
"74","01PLANT.Rose sp","lower","01PLANT",0.782608695652174,0,0.217391304347826,0,0,0,0,0,0,0,0,0,0,0,0
"75","01PLANT.Rough Chervil","lower","01PLANT",0.181818181818182,0,0.727272727272727,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0
"76","01PLANT.Selfheal","lower","01PLANT",0,0,0.833333333333333,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0
"77","01PLANT.Shepherd's Purse","lower","01PLANT",0,0,0.285714285714286,0,0,0,0,0,0.428571428571429,0,0.285714285714286,0,0,0,0
"78","01PLANT.Sow-thistle sp","lower","01PLANT",0,0.0238095238095238,0.166666666666667,0,0,0.0238095238095238,0.119047619047619,0,0.380952380952381,0.0238095238095238,0.0952380952380952,0,0.119047619047619,0.0476190476190476,0
"79","01PLANT.Spear Thistle","lower","01PLANT",0.184210526315789,0,0.105263157894737,0.0263157894736842,0,0.289473684210526,0.197368421052632,0,0.0657894736842105,0.0526315789473684,0,0,0.0789473684210526,0,0
"80","01PLANT.Spindle","lower","01PLANT",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"81","01PLANT.Stinging Nettle","lower","01PLANT",0.230769230769231,0.153846153846154,0.115384615384615,0.0769230769230769,0,0.0384615384615385,0.115384615384615,0.115384615384615,0,0,0.153846153846154,0,0,0,0
"82","01PLANT.Sun Spurge","lower","01PLANT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"83","01PLANT.Sycamore","lower","01PLANT",0.4375,0.5625,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","01PLANT.Teasel","lower","01PLANT",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"85","01PLANT.Traveller's Joy","lower","01PLANT",0,0.111111111111111,0.888888888888889,0,0,0,0,0,0,0,0,0,0,0,0
"86","01PLANT.Upright Hedge-parsley","lower","01PLANT",0.395833333333333,0,0,0,0,0.604166666666667,0,0,0,0,0,0,0,0,0
"87","01PLANT.Wall Speedwell","lower","01PLANT",0,0,0.6,0,0,0,0,0,0.2,0,0,0,0.2,0,0
"88","01PLANT.Water Figwort","lower","01PLANT",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"89","01PLANT.Wavy Bittercress","lower","01PLANT",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"90","01PLANT.Wayfaring-tree","lower","01PLANT",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"91","01PLANT.White Dead-nettle","lower","01PLANT",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"92","01PLANT.Wild Privet","lower","01PLANT",0,0,0,0,0,0,0.285714285714286,0.714285714285714,0,0,0,0,0,0,0
"93","01PLANT.Willowherb sp","lower","01PLANT",0,0,0.818181818181818,0,0,0.0909090909090909,0,0,0.0909090909090909,0,0,0,0,0,0
"94","01PLANT.Woodruff","lower","01PLANT",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"95","01PLANT.Yellow Archangel","lower","01PLANT",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"96","01PLANT.zCROP Barley","lower","01PLANT",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"97","01PLANT.zCROP Lucerne","lower","01PLANT",0,0,0,0.166666666666667,0,0,0,0,0,0,0,0.833333333333333,0,0,0
"98","01PLANT.zCROP Oat spring","lower","01PLANT",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"99","01PLANT.zCROP Oat winter","lower","01PLANT",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"100","01PLANT.zCROP Triticale","lower","01PLANT",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"101","01PLANT.zCROP Wheat","lower","01PLANT",0.0434782608695652,0,0.478260869565217,0,0,0,0,0,0.478260869565217,0,0,0,0,0,0
"102","02FV.Agriotes pallidulus","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","02FV.Alysiinae sp","higher","02FV",0,0,0,0.25,0,0.25,0,0,0,0.5,0,0,0,0,0
"104","02FV.Anapausis soluta","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"105","02FV.Anaspis maculata","higher","02FV",0.6,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0
"106","02FV.Anaspis pulicaria","higher","02FV",0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"107","02FV.Andrena dorsata","higher","02FV",0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0
"108","02FV.Andrena minutula","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"109","02FV.Anthocomus fasciatus","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"110","02FV.Anthomyia liturata","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"111","02FV.Anthomyia pluvialis","higher","02FV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"112","02FV.Anthomyza gracilis","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"113","02FV.Anthophila fabriciana","higher","02FV",0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"114","02FV.Apis mellifera","higher","02FV",0.0909090909090909,0,0,0.0909090909090909,0,0.272727272727273,0.181818181818182,0,0,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0.0909090909090909,0
"115","02FV.Aprostocetus sp","higher","02FV",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"116","02FV.Asecodes coronis","higher","02FV",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"117","02FV.Authonomus rubi","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"118","02FV.Azelia cilipes","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"119","02FV.Azelia zetterstedtii","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"120","02FV.Baccha elongate","higher","02FV",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"121","02FV.Bellardia pandia","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"122","02FV.Bicellaria vana","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"123","02FV.Bicellaria varia","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124","02FV.Bombus hortorum","higher","02FV",0.2,0,0,0,0,0.4,0.2,0,0,0,0,0,0.2,0,0
"125","02FV.Bombus lapidarius","higher","02FV",0.166666666666667,0,0,0,0.0833333333333333,0.166666666666667,0.0833333333333333,0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0,0
"126","02FV.Bombus pascuorum","higher","02FV",0.214285714285714,0,0,0.142857142857143,0.0714285714285714,0.285714285714286,0.142857142857143,0,0,0.0714285714285714,0,0,0.0714285714285714,0,0
"127","02FV.Bombus pratorum","higher","02FV",0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0
"128","02FV.Bombus terrestris","higher","02FV",0.142857142857143,0,0,0,0,0.142857142857143,0,0,0.142857142857143,0.142857142857143,0,0.142857142857143,0.285714285714286,0,0
"129","02FV.Bombus vestalis","higher","02FV",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"130","02FV.Botanophila fugax","higher","02FV",0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0
"131","02FV.Botanophila striolata","higher","02FV",0.285714285714286,0,0,0,0.142857142857143,0.285714285714286,0.142857142857143,0,0,0.142857142857143,0,0,0,0,0
"132","02FV.Brachypterus urticae","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"133","02FV.Bracon sp","higher","02FV",0.5,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0
"134","02FV.Bruchus rufimanus","higher","02FV",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"135","02FV.Byturus tomentosus","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"136","02FV.Calliphora vicina","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"137","02FV.Calliphora vomitoria","higher","02FV",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"138","02FV.Cantharis decipiens","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"139","02FV.Cantharis lateralis","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"140","02FV.Cantharis nigra","higher","02FV",0.285714285714286,0,0,0,0.142857142857143,0,0.142857142857143,0,0.428571428571429,0,0,0,0,0,0
"141","02FV.Cecidomyiidae sp","higher","02FV",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"142","02FV.Centrorhynchus obstrictus","higher","02FV",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"143","02FV.Cephus pygmaeus","higher","02FV",0.25,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0
"144","02FV.Ceraphron trissacantha","higher","02FV",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"145","02FV.Cetema elongata","higher","02FV",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"146","02FV.Cheilosia albitarsis","higher","02FV",0,0,0,0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0
"147","02FV.Cheilosia honesta","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"148","02FV.Cheilosia illustrata","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"149","02FV.Cheilosia pagana","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"150","02FV.Cheilosia proxima","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"151","02FV.Cheilosia proxima group sp. D","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"152","02FV.Chloromyia formosa","higher","02FV",0,0,0,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0,0.333333333333333,0,0
"153","02FV.Chlorops hypostigma","higher","02FV",0.6,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0
"154","02FV.Chlorops pumilionis","higher","02FV",0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0,0,0
"155","02FV.Chorebus sp","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"156","02FV.Chorebus sp nov","higher","02FV",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"157","02FV.Chromatomyia nigra","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"158","02FV.Chrysopilus asiliformis","higher","02FV",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"159","02FV.Chrysotoxum bicinctum","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"160","02FV.Chrysotus sp","higher","02FV",0.166666666666667,0,0,0,0.166666666666667,0.333333333333333,0,0.166666666666667,0.166666666666667,0,0,0,0,0,0
"161","02FV.Coccinella septempunctata","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"162","02FV.Coenosia tigrina","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"163","02FV.Copromyza similes","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","02FV.Crossopalpus sp","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"165","02FV.Dacnusa (maculipes)","higher","02FV",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"166","02FV.Delia sp","higher","02FV",0.117647058823529,0,0,0.0588235294117647,0.117647058823529,0.235294117647059,0.117647058823529,0,0.235294117647059,0.0588235294117647,0,0,0.0588235294117647,0,0
"167","02FV.Demetrias atricapillus","higher","02FV",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"168","02FV.Desmometopa sp","higher","02FV",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"169","02FV.Dicraeus tibialis","higher","02FV",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"170","02FV.Dicraeus vagans","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"171","02FV.Dilophus febrilis","higher","02FV",0.5,0,0,0,0,0.25,0.25,0,0,0,0,0,0,0,0
"172","02FV.Diospilus capito","higher","02FV",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"173","02FV.Diplonevra sp","higher","02FV",0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0,0,0,0
"174","02FV.Dolerus haematodes","higher","02FV",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"175","02FV.Dolichopus festivus","higher","02FV",0,0,0,0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,0,0,0,0
"176","02FV.Dolichopus ungulatus","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","02FV.Ectemnius cephalotes","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"178","02FV.Empis (Xanthempis) sp","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"179","02FV.Empis caudatula","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"180","02FV.Empis chioptera","higher","02FV",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"181","02FV.Empis livida","higher","02FV",0.142857142857143,0,0,0.0285714285714286,0.114285714285714,0.228571428571429,0.2,0.0285714285714286,0.171428571428571,0.0285714285714286,0,0,0.0571428571428571,0,0
"182","02FV.Empis nigripes","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"183","02FV.Empis nuntia","higher","02FV",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"184","02FV.Endasys sp","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"185","02FV.Episyrphus balteatus","higher","02FV",0.428571428571429,0,0,0,0,0.285714285714286,0,0.142857142857143,0.142857142857143,0,0,0,0,0,0
"186","02FV.Epuraea melanocephala","higher","02FV",0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0
"187","02FV.Eriothrix rufomaculata","higher","02FV",0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0
"188","02FV.Eristalis arbustorum","higher","02FV",0,0,0,0,0,0.4,0.2,0,0.2,0,0,0,0,0.2,0
"189","02FV.Eristalis pertinax","higher","02FV",0.25,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0,0,0
"190","02FV.Eristalis tenax","higher","02FV",0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0
"191","02FV.Eudasyphora cyanella","higher","02FV",0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
"192","02FV.Eupeodes corollae","higher","02FV",0,0,0,0,0,0,0.333333333333333,0,0.333333333333333,0.333333333333333,0,0,0,0,0
"193","02FV.Eupeodes luniger","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"194","02FV.Fannia serena","higher","02FV",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"195","02FV.Fannia sp","higher","02FV",0.333333333333333,0,0,0.166666666666667,0,0.333333333333333,0,0,0.166666666666667,0,0,0,0,0,0
"196","02FV.Formicidae A","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"197","02FV.Formicidae B","higher","02FV",0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0
"198","02FV.Gastrophysa viridular","higher","02FV",0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0
"199","02FV.Geomyza tripunctata","higher","02FV",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"200","02FV.Glyphipterix simpliciella","higher","02FV",0.333333333333333,0,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0
"201","02FV.Grammoptera ruficornis","higher","02FV",0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0
"202","02FV.Halticoptera sp","higher","02FV",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"203","02FV.Helina sp","higher","02FV",0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
"204","02FV.Helophilus pendulus","higher","02FV",0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0
"205","02FV.Helophilus trivittatus","higher","02FV",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"206","02FV.Hemicrepidius hirtus","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"207","02FV.Hercostomus parvilamellatus","higher","02FV",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"208","02FV.Herina longistylata","higher","02FV",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"209","02FV.Heteronychia vagans","higher","02FV",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"210","02FV.Hexacola hexatoma","higher","02FV",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"211","02FV.Hydrellia griseola","higher","02FV",0,0,0,0,0.5,0.25,0,0,0.25,0,0,0,0,0,0
