Insect species,Plant species,Pollen grains
Episyrphus balteatus,Anthriscus sylvestris,1
Episyrphus balteatus,Clematis vitalba,1
Episyrphus balteatus,Lamium album,4
Episyrphus balteatus,Picris type,2
Episyrphus balteatus,Ranunculus repens,2
Episyrphus balteatus,Rubus type,10
Episyrphus balteatus,Torilis arvensis,1
Episyrphus balteatus,Tripleurospermum inodorum,1
Episyrphus balteatus,Vicia parviflora,1
Eriothrix rufomaculata,Matricaria recutita,11
Eriothrix rufomaculata,Papaver rhoeas,1
Eriothrix rufomaculata,Picris type,7
Eriothrix rufomaculata,Torilis arvensis,20
Eristalis nemorum,Aethusa cynapium,15
Eristalis nemorum,Anthriscus sylvestris,16
Eristalis nemorum,Arctium minus,1
Eristalis nemorum,Cirsium type,35
Eristalis nemorum,Clematis vitalba,1
Eristalis nemorum,Daucus carota,3
Eristalis nemorum,Matricaria recutita,8
Eristalis nemorum,Papaver rhoeas,6
Eristalis nemorum,Picris type,42
Eristalis nemorum,Ranunculus repens,5
Eristalis nemorum,Rubus type,357
Eristalis nemorum,Senecio vulgaris,13
Eristalis nemorum,Sherardia arvensis,1
Eristalis nemorum,Sinapis arvensis,1
Eristalis nemorum,Sisymbrium officinale,6
Eristalis nemorum,Tripleurospermum inodorum,1
Eristalis nemorum,unknown,3
Eristalis tenax,Picris type,19
Eristalis tenax,Rubus type,3
Helophilus pendulus,Cirsium type,2
Helophilus pendulus,Papaver rhoeas,6
Helophilus pendulus,Picris type,549
Helophilus pendulus,Rubus type,44
Hemiptera sp.,Anthriscus sylvestris,4
Hemiptera sp.,Arctium minus,1
Hemiptera sp.,Chaerophyllum temulum,2
Hemiptera sp.,Cirsium type,41
Hemiptera sp.,Clematis vitalba,5
Hemiptera sp.,Convolvulus arvensis,4
Hemiptera sp.,Lamium album,1
Hemiptera sp.,Matricaria recutita,2
Hemiptera sp.,Odontites vernus,3
Hemiptera sp.,Papaver rhoeas,2
Hemiptera sp.,Picris type,5
Hemiptera sp.,Ranunculus repens,4
Hemiptera sp.,Rubus type,66
Hemiptera sp.,Sisymbrium officinale,1
Hemiptera sp.,Stachys sylvatica,3
Hemiptera sp.,Torilis arvensis,5
Hemiptera sp.,Tripleurospermum inodorum,188
Hemiptera sp.,Vicia parviflora,2
Ichneumonidae,Anthriscus sylvestris,3
Ichneumonidae,Arctium minus,1
Ichneumonidae,Cirsium type,915
Ichneumonidae,Lamium album,1
Ichneumonidae,Picris type,40
Ichneumonidae,Ranunculus repens,1
Ichneumonidae,Rubus type,2
Ichneumonidae,Senecio vulgaris,1
Ichneumonidae,Stachys sylvatica,2
Ichneumonidae,unknown,1
Kritempis livida,Clematis vitalba,2
Kritempis livida,Daucus carota,1
Kritempis livida,Galium mollugo,3
Kritempis livida,Ranunculus repens,1
Kritempis livida,Rubus type,5
Lasioglossum pauxillum,Cirsium type,5
Lasioglossum pauxillum,Geranium type,1
Lasioglossum pauxillum,Lamium album,4
Lasioglossum pauxillum,Matricaria recutita,1
Lasioglossum pauxillum,Odontites vernus,197
Lasioglossum pauxillum,Picris type,7
Lasioglossum pauxillum,Ranunculus repens,7
Lasioglossum pauxillum,Rubus type,321
Lasioglossum pauxillum,Torilis arvensis,642
Lasioglossum pauxillum,Tripleurospermum inodorum,1085
Lasioglossum pauxillum,Valerianella sp.,1
Melanostoma mellinum,Anthriscus sylvestris,7
Melanostoma mellinum,Clematis vitalba,2
Melanostoma mellinum,Daucus carota,1
Melanostoma mellinum,Galium mollugo,4
Melanostoma mellinum,Lamium album,4
Melanostoma mellinum,Papaver rhoeas,1
Melanostoma mellinum,Picris type,9
Melanostoma mellinum,Ranunculus repens,4
Melanostoma mellinum,Stachys sylvatica,1
Melanostoma mellinum,Torilis arvensis,3
Melanostoma mellinum,Vicia parviflora,1
Meligethes aenues,Aethusa cynapium,3
Meligethes aenues,Anthriscus sylvestris,1
Meligethes aenues,Arctium minus,1
Meligethes aenues,Cirsium type,79
Meligethes aenues,Clematis vitalba,2
Meligethes aenues,Geranium type,1
Meligethes aenues,Lamium album,1
Meligethes aenues,Picris type,9
Meligethes aenues,Ranunculus repens,1
Meligethes aenues,Rubus type,665
Meligethes aenues,Senecio vulgaris,3
Meligethes aenues,Stachys sylvatica,3
Meligethes aenues,Torilis arvensis,1
Meligethes aenues,Tripleurospermum inodorum,1
Meligethes nigrescens,Cirsium type,1
Meligethes nigrescens,Clematis vitalba,2
Meligethes nigrescens,Lamium album,2
Meligethes nigrescens,Picris type,18
Meligethes nigrescens,Rubus type,89
Meligethes nigrescens,Stachys sylvatica,5
Meligethes nigrescens,Torilis arvensis,16
Meligethes nigrescens,Tripleurospermum inodorum,48
Meligethes nigrescens,unknown,4
Melinda viridicyanea,Aethusa cynapium,1
Melinda viridicyanea,Cirsium type,1
Melinda viridicyanea,Lamium album,1
Melinda viridicyanea,Picris type,2
Melinda viridicyanea,Rubus type,1
Melinda viridicyanea,Torilis arvensis,1
Metasyrphus corollae,Aethusa cynapium,2
Metasyrphus corollae,Anthriscus sylvestris,16
Metasyrphus corollae,Clematis vitalba,3
Metasyrphus corollae,Convolvulus arvensis,1
Metasyrphus corollae,Galium mollugo,15
Metasyrphus corollae,Lamium album,15
Metasyrphus corollae,Matricaria recutita,12
Metasyrphus corollae,Odontites vernus,3
Metasyrphus corollae,Picris type,13
Metasyrphus corollae,Ranunculus repens,8
Metasyrphus corollae,Rubus type,182
Metasyrphus corollae,Senecio vulgaris,1
Metasyrphus corollae,Sisymbrium officinale,1
Metasyrphus corollae,Stachys sylvatica,7
Metasyrphus corollae,Torilis arvensis,2
Metasyrphus corollae,unknown,3
Metasyrphus corollae,Vicia parviflora,1
Metasyrphus luniger,Clematis vitalba,1
Metasyrphus luniger,Galium mollugo,1
Metasyrphus luniger,Kickxia elatine,4
Metasyrphus luniger,Kickxia spuria,2
Metasyrphus luniger,Matricaria recutita,4
Metasyrphus luniger,Picris type,98
Metasyrphus luniger,Ranunculus repens,2
Metasyrphus luniger,Stachys sylvatica,27
Metasyrphus luniger,Tilia cordata,2
Metasyrphus luniger,Torilis arvensis,9
Metasyrphus luniger,Veronica arvensis,4
Minettia rivosa,Clematis vitalba,1
Minettia rivosa,Papaver rhoeas,2
Minettia rivosa,Rubus type,1
Minettia rivosa,Torilis arvensis,1
Myrmica rubra,Anthriscus sylvestris,2
Myrmica rubra,Galium mollugo,2
Myrmica rubra,Papaver rhoeas,1
Myrmica rubra,Ranunculus repens,1
Myrmica rubra,Stachys sylvatica,2
Nabidae Nymph,Aethusa cynapium,2
Nabidae Nymph,Clematis vitalba,1
Nabidae Nymph,Lamium album,3
Nabidae Nymph,Matricaria recutita,1
Nabidae Nymph,Ranunculus repens,1
Nabidae Nymph,Torilis arvensis,1
Nupedia aestiva,Anthriscus sylvestris,15
Nupedia aestiva,Cirsium type,6
Nupedia aestiva,Clematis vitalba,3
Nupedia aestiva,Daucus carota,2
Nupedia aestiva,Ericaceae,8
Nupedia aestiva,Galium mollugo,2
Nupedia aestiva,Heracleum sphondylium,1
Nupedia aestiva,Matricaria recutita,13
Nupedia aestiva,Odontites vernus,2
Nupedia aestiva,Papaver rhoeas,3
Nupedia aestiva,Picris type,57
Nupedia aestiva,Ranunculus repens,17
Nupedia aestiva,Rubus type,3
Nupedia aestiva,Stachys sylvatica,5
Nupedia aestiva,Tilia cordata,1
Nupedia aestiva,Torilis arvensis,2
Nupedia aestiva,unknown,3
Nupedia infirma,Tilia cordata,1
Oedemera lurida,Lamium album,1
Oedemera lurida,Matricaria recutita,1
Oedemera lurida,Papaver rhoeas,2
Oedemera lurida,Ranunculus repens,2
Oedemera lurida,Rubus type,2
Oedemera lurida,Torilis arvensis,37
Oedemera lurida,unknown,1
Oedemera nobilis,Aethusa cynapium,5
Oedemera nobilis,Cirsium type,1
Oedemera nobilis,Convolvulus arvensis,18
Oedemera nobilis,Matricaria recutita,33
Oedemera nobilis,Picris type,1
Oedemera nobilis,Ranunculus repens,2
Oedemera nobilis,Rubus type,16
Oedemera nobilis,Torilis arvensis,2
Oedemera nobilis,unknown,1
Olibrus aeneus,Brassica rapa,1
Olibrus aeneus,Rubus type,1
Olibrus aeneus,Tilia cordata,1
Olibrus aeneus,Tripleurospermum inodorum,3
Oulema melanopus or rufocyanea,Daucus carota,1
Oulema melanopus or rufocyanea,Galium mollugo,1
Oulema melanopus or rufocyanea,Lamium album,1
Oulema melanopus or rufocyanea,Papaver rhoeas,2
Oulema melanopus or rufocyanea,Ranunculus repens,4
Paravespula vulgaris,Anthriscus sylvestris,2
Paravespula vulgaris,Clematis vitalba,1
Paravespula vulgaris,Galium mollugo,1
Paravespula vulgaris,Matricaria recutita,1
Paravespula vulgaris,Papaver rhoeas,1
Paravespula vulgaris,Stachys sylvatica,1
Paravespula vulgaris,Tilia cordata,1
Paravespula vulgaris,unknown,1
Platycheirus albimanus,Aethusa cynapium,1
Platycheirus albimanus,Anthriscus sylvestris,1
Platycheirus albimanus,Clematis vitalba,2
Platycheirus albimanus,Galium mollugo,16
Platycheirus albimanus,Lamium album,2
Platycheirus albimanus,Malva type,5
Platycheirus albimanus,Matricaria recutita,1
Platycheirus albimanus,Odontites vernus,6
Platycheirus albimanus,Papaver rhoeas,3
Platycheirus albimanus,Picris type,5
Platycheirus albimanus,Ranunculus repens,5
Platycheirus albimanus,Rubus type,30
Platycheirus albimanus,Stachys sylvatica,1
Platycheirus albimanus,Tilia cordata,2
Platycheirus albimanus,Torilis arvensis,32
Platycheirus albimanus,unknown,1
Platycheirus albimanus,Valerianella sp.,2
Platycheirus albimanus,Veronica persica,1
Platycheirus peltatus,Aethusa cynapium,1
Platycheirus peltatus,Cirsium type,1
Platycheirus peltatus,Clematis vitalba,1
Platycheirus peltatus,Matricaria recutita,2
Platycheirus peltatus,Picris type,6
Platycheirus peltatus,Rubus type,248
Platycheirus peltatus,Stachys sylvatica,1
Platycheirus scutatus,Aethusa cynapium,2
Platycheirus scutatus,Clematis vitalba,43
Platycheirus scutatus,Euphorbia type,2
Platycheirus scutatus,Galium mollugo,1
Platycheirus scutatus,Heracleum sphondylium,1
Platycheirus scutatus,Lamium album,13
Platycheirus scutatus,Matricaria recutita,3
Platycheirus scutatus,Odontites vernus,120
Platycheirus scutatus,Papaver rhoeas,3
Platycheirus scutatus,Picris type,87
Platycheirus scutatus,Ranunculus repens,3
Platycheirus scutatus,Rubus type,86
Platycheirus scutatus,Tilia cordata,3
Platycheirus scutatus,Torilis arvensis,17
Platycheirus scutatus,Tripleurospermum inodorum,9
Pterophorus pentadactyla,Clematis vitalba,1
Pterophorus pentadactyla,Lamium album,1
Pterophorus pentadactyla,Stachys sylvatica,1
Pterophorus pentadactyla,unknown,1
Pyronia tithonus,Cirsium type,18
Pyronia tithonus,Clematis vitalba,8
Pyronia tithonus,Matricaria recutita,1
Pyronia tithonus,Ranunculus repens,2
Pyronia tithonus,Rubus type,1
Rhagonycha fulva,Clematis vitalba,4
Rhagonycha fulva,Papaver rhoeas,1
Rhagonycha fulva,Rubus type,3
Rhagonycha fulva,Sherardia arvensis,17
Rhagonycha fulva,Torilis arvensis,1
Scaptomyza pallida,Lamium album,2
Scaptomyza pallida,Odontites vernus,4
Scaptomyza pallida,Tripleurospermum inodorum,1
Scathophaga stercoraria,Galium mollugo,1
Scathophaga stercoraria,Matricaria recutita,1
Scathophaga stercoraria,Picris type,1
Scathophaga stercoraria,Torilis arvensis,27
Sphaerophoria menthastri,Clematis vitalba,4
Sphaerophoria menthastri,Daucus carota,2
Sphaerophoria menthastri,Galium mollugo,1
Sphaerophoria menthastri,Matricaria recutita,1
Sphaerophoria menthastri,Odontites vernus,1
Sphaerophoria menthastri,Picris type,3
Sphaerophoria menthastri,Ranunculus repens,3
Sphaerophoria menthastri,Torilis arvensis,2
Sphaerophoria menthastri,unknown,3
Sphaerophoria scripta,Aethusa cynapium,67
Sphaerophoria scripta,Anthriscus sylvestris,4
Sphaerophoria scripta,Chaerophyllum temulum,7
Sphaerophoria scripta,Cirsium type,1
Sphaerophoria scripta,Clematis vitalba,5
Sphaerophoria scripta,Convolvulus arvensis,3
Sphaerophoria scripta,Daucus carota,3
Sphaerophoria scripta,Euphorbia type,3
Sphaerophoria scripta,Galium mollugo,21
Sphaerophoria scripta,Heracleum sphondylium,5
Sphaerophoria scripta,Lamium album,10
Sphaerophoria scripta,Matricaria recutita,9
Sphaerophoria scripta,Odontites vernus,485
Sphaerophoria scripta,Papaver rhoeas,4
Sphaerophoria scripta,Picris type,170
Sphaerophoria scripta,Ranunculus repens,21
Sphaerophoria scripta,Rubus type,65
Sphaerophoria scripta,Sinapis arvensis,1
Sphaerophoria scripta,Sisymbrium officinale,8
Sphaerophoria scripta,Stachys sylvatica,9
Sphaerophoria scripta,Torilis arvensis,8
Sphaerophoria scripta,Tripleurospermum inodorum,8
Sphaerophoria scripta,unknown,3
Sphaerophoria scripta,Vicia parviflora,3
Sphaerophoria scripta,Vicia sativa,5
Sphaerophoria taeniata,Aethusa cynapium,3
Sphaerophoria taeniata,Cirsium type,1
Sphaerophoria taeniata,Clematis vitalba,1
Sphaerophoria taeniata,Convolvulus arvensis,5
Sphaerophoria taeniata,Matricaria recutita,2
Sphaerophoria taeniata,Picris type,74
Sphaerophoria taeniata,Ranunculus repens,24
Sphaerophoria taeniata,Rubus type,4
Sphaerophoria taeniata,Torilis arvensis,13
Sphaerophoria taeniata,Vicia parviflora,1
Syritta pipiens,Anthriscus sylvestris,2
Syritta pipiens,Clematis vitalba,1
Syritta pipiens,Daucus carota,3
Syritta pipiens,Galium mollugo,15
Syritta pipiens,Matricaria recutita,1
Syritta pipiens,Odontites vernus,2
Syritta pipiens,Picris type,10
Syritta pipiens,Ranunculus repens,2
Syritta pipiens,Stachys sylvatica,2
Syritta pipiens,Tripleurospermum inodorum,1
Syrphus ribesii,Aethusa cynapium,6
Syrphus ribesii,Clematis vitalba,5
Syrphus ribesii,Matricaria recutita,1
Syrphus ribesii,Papaver rhoeas,4
Syrphus ribesii,Ranunculus repens,2
Syrphus ribesii,Rubus type,37
Syrphus ribesii,Stachys sylvatica,2
Syrphus ribesii,Torilis arvensis,8
Syrphus ribesii,Tripleurospermum inodorum,3
Syrphus ribesii,unknown,1
Syrphus ribesii,Valerianella sp.,1
Syrphus sp.,Brassica rapa,1
Syrphus sp.,Clematis vitalba,1
Syrphus sp.,Odontites vernus,15
Syrphus sp.,Picris type,1
Syrphus sp.,Ranunculus repens,4
Syrphus sp.,Rubus type,2
Syrphus sp.,Tilia cordata,2
Syrphus sp.,Torilis arvensis,3
Syrphus sp.,Valerianella sp.,2
Tachinid sp.,Aethusa cynapium,4
Tachinid sp.,Clematis vitalba,2
Tachinid sp.,Euphorbia type,2
Tachinid sp.,Matricaria recutita,21
Tachinid sp.,Papaver rhoeas,2
Tachinid sp.,Picris type,2
Tachinid sp.,Ranunculus repens,1
Tachinid sp.,Rubus type,1
Tachinid sp.,Tripleurospermum inodorum,2
Oedemera lurida,Pilosella officinarum,1
Oedemera lurida,Rubus fruticosus,1
Oedemera lurida,Rubus fruticosus,1
Oedemera lurida,Crepis capillaris,1
Oedemera lurida,Crepis capillaris,1
Rhagonycha fulva,Chamerion angustifolium,1
Rhagonycha fulva,Leontodon hispidus,1
Rhagonycha fulva,Leontodon hispidus,1
Rhagonycha fulva,Torilis arvensis,1
Pollen Beetle.2,Crepis capillaris,1
Pollen Beetle unid,Hypochaeris radicata,1
Pollen Beetle.br2,Crepis capillaris,1
Pollen Beetle.br2,Crepis capillaris,1
Pollen Beetle.1,Thymus polytrichus,1
Pollen Beetle.1,Crepis capillaris,1
Pollen Beetle.br3,Crepis capillaris,1
Rhagonycha fulva,Cirsium arvense,1
Rhagonycha fulva,Cirsium arvense,1
Cryptocephalus aureulius,Pilosella officinarum,2
Cteniopus sulphureus,Pyrola rotundifolia,2
Cteniopus sulphureus,Pyrola rotundifolia,2
Oedemera lurida,Rubus fruticosus,2
Oedemera lurida,Crepis capillaris,2
Rhagonycha fulva,Chamerion angustifolium,2
Rhagonycha fulva,Leontodon hispidus,2
Cteniopus murina,Carlina vulgaris,2
Pollen Beetle.br2,Crepis capillaris,2
Pollen Beetle.1,Thymus polytrichus,2
Rhagonycha fulva,Cirsium arvense,2
Rhagonycha fulva,Cirsium arvense,2
Cryptocephalus aureulius,Pilosella officinarum,3
Cteniopus sulphureus,Pyrola rotundifolia,3
Rhagonycha fulva,Torilis arvensis,3
Pollen Beetle.br2,Hypochaeris radicata,3
Cryptocephalus aureulius,Pilosella officinarum,4
Cteniopus sulphureus,Pyrola rotundifolia,4
Pollen Beetle.br3,Hypochaeris radicata,4
?,Rubus fruticosus,5
Cryptocephalus aureulius,Pilosella officinarum,6
Pollen Beetle.2,Pilosella officinarum,7
Rhagonycha fulva,Leontodon hispidus,8
Rhagonycha fulva,Torilis arvensis,8
Oedemera lurida,Rubus fruticosus,9
Rhagonycha fulva,Torilis arvensis,9
Cryptocephalus aureulius,Pilosella officinarum,10
Oedemera lurida,Pilosella officinarum,10
Pollen Beetle unid,Pulicaria dysenterica,12
Cryptocephalus aureulius,Pilosella officinarum,13
Cryptocephalus aureulius,Leontodon hispidus,13
?,Rubus fruticosus,14
Oedemera lurida,Rubus fruticosus,18
Pollen Beetle unid,Pulicaria dysenterica,18
Oedemera lurida,Rubus fruticosus,19
Rhagonycha fulva,Torilis arvensis,20
Cryptocephalus aureulius,Pilosella officinarum,24
Cryptocephalus aureulius,Leontodon hispidus,25
Rhagonycha fulva,Cirsium arvense,34
Oedemera lurida,Rubus fruticosus,35
Rhagonycha fulva,Leontodon hispidus,37
Cryptocephalus aureulius,Leontodon hispidus,39
Cryptocephalus aureulius,Pilosella officinarum,42
Cteniopus murina,Carlina vulgaris,44
Rhagonycha fulva,Cirsium arvense,53
Cryptocephalus aureulius,Leontodon hispidus,75
Cryptocephalus aureulius,Pilosella officinarum,121
Rhagonycha fulva,Torilis arvensis,157
Cryptocephalus aureulius,Pilosella officinarum,179
Cteniopus murina,Carlina vulgaris,281
?,Pilosella officinarum,1
?,Pilosella officinarum,1
?,Pilosella officinarum,1
?,Pilosella officinarum,1
?,Pilosella officinarum,1
Chrysopilus cristatus,Ranunculus acris,1
?,Pilosella officinarum,1
?,Hypochaeris radicata,1
?,Leontodon hispidus,1
?,Leontodon hispidus,1
?,Leontodon hispidus,1
?,Crepis capillaris,1
?,Hypochaeris radicata,1
?,Pilosella officinarum,1
?,Pilosella officinarum,1
Episyrphus balteatus,Leontodon saxatilis,1
Episyrphus balteatus,Leontodon saxatilis,1
D.unid,Ranunculus flammula,1
Sphaerophora scripta,Crepis capillaris,1
Sphaerophora scripta,Rubus fruticosus,1
Sphaerophora scripta,Rubus fruticosus,1
Sphaerophora scripta,Thymus polytrichus,1
Hydrophoria lancifer,Pulicaria dysenterica,1
?,Hypochaeris radicata,1
?,Hypochaeris radicata,1
?,Hypochaeris radicata,1
?,Hypochaeris radicata,1
?,Leontodon hispidus,1
Delia sp.,Leontodon hispidus,1
Delia sp.,Leontodon hispidus,1
Eristalis arbustorum,Pulicaria dysenterica,1
Eristalis arbustorum,Pulicaria dysenterica,1
Eristalis arbustorum,Pulicaria dysenterica,1
Eristalis arbustorum,Pulicaria dysenterica,1
Eristalis tenax,Pulicaria dysenterica,1
Eristalis tenax,Pulicaria dysenterica,1
Scathophaga stercoraria,Torilis arvensis,1
Scathophaga stercoraria,Torilis arvensis,1
?,Pulicaria dysenterica,1
Metasyrphus latififaciatus,Ranunculus repens,1
Episyrphus balteatus,Hypochaeris radicata,1
Metasyrphus corollae,Hypochaeris radicata,1
Sphaerophora scripta,Hypochaeris radicata,1
Sphaerophora scripta,Hypochaeris radicata,1
Sphaerophora scripta,Senecio jacobaea,1
Sphaerophora scripta,Senecio jacobaea,1
Sphaerophora scripta,Senecio jacobaea,1
Sphaerophora scripta,Leontodon hispidus,1
Sphaerophora scripta,Leontodon hispidus,1
Sphaerophora scripta,Pulicaria dysenterica,1
Sphaerophora scripta,Pulicaria dysenterica,1
Sphaerophora scripta,Pulicaria dysenterica,1
Sphaerophora scripta,Pulicaria dysenterica,1
Sphaerophora scripta,Pulicaria dysenterica,1
?,Pulicaria dysenterica,1
?,Senecio jacobaea,1
?,Senecio jacobaea,1
?,Pulicaria dysenterica,1
?,Pulicaria dysenterica,1
?,Ranunculus sp.,1
?,Ranunculus sp.,1
?,Pulicaria dysenterica,1
Metasyrphus sp.,Leontodon hispidus,1
Eristalis tenax,Mentha aquatica,1
Eristalis tenax,Mentha aquatica,1
Eristalis tenax,Mentha aquatica,1
Eristalis tenax,Mentha aquatica,1
Eristalis tenax,Mentha aquatica,1
?,Leontodon hispidus,1
?,Leontodon hispidus,1
?,Crepis capillaris,1
?,Pilosella officinarum,2
?,Pilosella officinarum,2
?,Leontodon hispidus,2
Sphaerophora scripta,Thymus polytrichus,2
Carcelia lucorum,Torilis arvensis,2
?,Hypochaeris radicata,2
Delia sp.,Leontodon saxatilis,2
Eristalis arbustorum,Pulicaria dysenterica,2
Eristalis tenax,Pulicaria dysenterica,2
Eristalis tenax,Pulicaria dysenterica,2
Metasyrphus latififaciatus,Ranunculus repens,2
Sphaerophora scripta,Hypochaeris radicata,2
Sphaerophora scripta,Senecio jacobaea,2
?,Crepis capillaris,2
Sphaerophora scripta,Leontodon hispidus,2
Sphaerophora scripta,Leontodon hispidus,2
Sphaerophora scripta,Pulicaria dysenterica,2
Syrphus vitripennis,Crepis capillaris,2
Syrphus vitripennis,Crepis capillaris,2
Syrphus vitripennis,Crepis capillaris,2
?,Ranunculus sp.,2
Eristalis tenax,Mentha aquatica,2
Eristalis tenax,Mentha aquatica,2
Eristalis tenax,Mentha aquatica,2
?,Crepis capillaris,2
?,Pilosella officinarum,3
?,Pilosella officinarum,3
?,Crepis capillaris,3
?,Hypochaeris radicata,3
Carcelia lucorum,Torilis arvensis,3
Eristalis tenax,Pulicaria dysenterica,3
Scathophaga stercoraria,Torilis arvensis,3
?,Pulicaria dysenterica,3
Syrphus vitripennis,Crepis capillaris,3
