habitat,lower,upper,weight
RG,01PLANT.Clover sp,02FV.Apis mellifera,298.2366143
RG,01PLANT.Corn Mint,02FV.Apis mellifera,596.4732285
RG,01PLANT.Creeping Thistle,02FV.Apis mellifera,99.41220476
LP,01PLANT.Clover sp,02FV.Aprostocetus sp,476.1544443
PP,01PLANT.Autumn Hawkbit,02FV.Asecodes coronis,1479.158009
PP,01PLANT.Creeping Buttercup,02FV.Asecodes coronis,1109.368507
RG,01PLANT.Mayweed sp,02FV.Authonomus rubi,49.70610238
RG,01PLANT.Mayweed sp,02FV.Azelia cilipes,99.41220475
MH,01PLANT.Hogweed,02FV.Azelia zetterstedtii,19.69379018
WD,01PLANT.Bramble,02FV.Baccha elongate,74.57591465
RG,01PLANT.Mayweed sp,02FV.Bellardia pandia,99.41220475
MH,01PLANT.Cow Parsley,02FV.Bicellaria vana,19.69379018
MH,01PLANT.Red Campion,02FV.Bicellaria vana,19.69379018
MH,01PLANT.Red Campion,02FV.Bicellaria varia,39.38758036
MH,01PLANT.Hedge Woundwort,02FV.Bombus hortorum,19.69379018
NH,01PLANT.Hedge Woundwort,02FV.Bombus hortorum,26.12631139
NL,01PLANT.Clover sp,02FV.Bombus hortorum,1209.884479
RG,01PLANT.Bramble,02FV.Bombus hortorum,49.70610238
RG,01PLANT.Hedge Woundwort,02FV.Bombus hortorum,248.5305119
CP,01PLANT.Common Poppy,02FV.Bombus lapidarius,2289.742849
CP,01PLANT.Spear Thistle,02FV.Bombus lapidarius,1495.14866
LP,01PLANT.Clover sp,02FV.Bombus lapidarius,8599.247617
LP,01PLANT.Spear Thistle,02FV.Bombus lapidarius,476.1544443
MH,01PLANT.Bramble,02FV.Bombus lapidarius,19.69379018
MH,01PLANT.Creeping Thistle,02FV.Bombus lapidarius,19.69379018
NH,01PLANT.Spear Thistle,02FV.Bombus lapidarius,17.41754093
NL,01PLANT.Clover sp,02FV.Bombus lapidarius,2419.768959
NL,01PLANT.Spear Thistle,02FV.Bombus lapidarius,604.9422397
PP,01PLANT.Clover sp,02FV.Bombus lapidarius,739.5790043
RG,01PLANT.Clover sp,02FV.Bombus lapidarius,149.1183071
RG,01PLANT.Creeping Thistle,02FV.Bombus lapidarius,198.8244095
GM,01PLANT.Bindweed sp,02FV.Bombus pascuorum,18.99383363
GM,01PLANT.Clover sp,02FV.Bombus pascuorum,56.98150089
LP,01PLANT.Clover sp,02FV.Bombus pascuorum,1904.617777
MH,01PLANT.Bramble,02FV.Bombus pascuorum,39.38758036
MH,01PLANT.Creeping Thistle,02FV.Bombus pascuorum,19.69379018
MH,01PLANT.Hawthorn,02FV.Bombus pascuorum,39.38758037
NH,01PLANT.Clover sp,02FV.Bombus pascuorum,6.531577848
NH,01PLANT.Spear Thistle,02FV.Bombus pascuorum,23.94911878
NL,01PLANT.Clover sp,02FV.Bombus pascuorum,3629.653438
PP,01PLANT.Clover sp,02FV.Bombus pascuorum,2958.316018
RG,01PLANT.Clover sp,02FV.Bombus pascuorum,99.41220476
RG,01PLANT.Common Vetch,02FV.Bombus pascuorum,49.70610238
RG,01PLANT.Creeping Thistle,02FV.Bombus pascuorum,198.8244095
RG,01PLANT.White Dead-nettle,02FV.Bombus pascuorum,99.41220475
PP,01PLANT.Clover sp,02FV.Bombus pratorum,739.5790043
RG,01PLANT.Clover sp,02FV.Bombus pratorum,49.70610238
CP,01PLANT.Common Poppy,02FV.Bombus terrestris,2220.334392
LP,01PLANT.Clover sp,02FV.Bombus terrestris,5266.166507
LU,01PLANT.zCROP Lucerne,02FV.Bombus terrestris,1139.866279
MH,01PLANT.Bramble,02FV.Bombus terrestris,59.08137054
NL,01PLANT.Clover sp,02FV.Bombus terrestris,604.9422397
NL,01PLANT.Spear Thistle,02FV.Bombus terrestris,604.9422397
RG,01PLANT.Creeping Thistle,02FV.Bombus terrestris,49.70610238
LP,01PLANT.Clover sp,02FV.Bombus vestalis,952.3088886
CP,01PLANT.Mayweed sp,02FV.Botanophila fugax,771.0842595
NH,01PLANT.Ragwort,02FV.Botanophila fugax,13.0631557
LP,01PLANT.Creeping Buttercup,02FV.Botanophila striolata,476.1544443
MH,01PLANT.Cow Parsley,02FV.Botanophila striolata,19.69379018
MH,01PLANT.Creeping Thistle,02FV.Botanophila striolata,19.69379018
NH,01PLANT.Creeping Buttercup,02FV.Botanophila striolata,8.708770463
PP,01PLANT.Autumn Hawkbit,02FV.Botanophila striolata,1479.158009
RG,01PLANT.Creeping Buttercup,02FV.Botanophila striolata,49.70610238
RG,01PLANT.Hogweed,02FV.Botanophila striolata,49.70610238
RG,01PLANT.Bramble,02FV.Brachypterus urticae,99.41220475
CP,01PLANT.Creeping Thistle,02FV.Bracon sp,1472.760062
GM,01PLANT.Creeping Buttercup,02FV.Bracon sp,18.99383363
MH,01PLANT.Cow Parsley,02FV.Bracon sp,39.38758037
MH,01PLANT.Red Campion,02FV.Bracon sp,19.69379018
CP,01PLANT.Mayweed sp,02FV.Bruchus rufimanus,2777.926462
MH,01PLANT.Rose sp,02FV.Byturus tomentosus,39.38758037
MH,01PLANT.Hogweed,02FV.Calliphora vicina,59.08137054
NH,01PLANT.Ragwort,02FV.Calliphora vomitoria,6.531577848
MH,01PLANT.Hawthorn,02FV.Cantharis decipiens,19.69379018
MH,01PLANT.Cow Parsley,02FV.Cantharis lateralis,39.38758037
CP,01PLANT.Charlock,02FV.Cantharis nigra,1800.952323
CP,01PLANT.Hairy Tare,02FV.Cantharis nigra,1472.760062
CP,01PLANT.Mayweed sp,02FV.Cantharis nigra,1472.760062
MH,01PLANT.Bramble,02FV.Cantharis nigra,78.77516074
MH,01PLANT.Hogweed,02FV.Cantharis nigra,19.69379018
NH,01PLANT.Creeping Buttercup,02FV.Cantharis nigra,21.77192616
PP,01PLANT.Creeping Buttercup,02FV.Cantharis nigra,739.5790043
GM,01PLANT.Creeping Buttercup,02FV.Cecidomyiidae sp,370.1797407
CP,01PLANT.Charlock,02FV.Centrorhynchus obstrictus,1800.952323
CP,01PLANT.Charlock,02FV.Cephus pygmaeus,747.57433
MH,01PLANT.Bramble,02FV.Cephus pygmaeus,19.69379018
NH,01PLANT.Creeping Buttercup,02FV.Cephus pygmaeus,8.708770463
RG,01PLANT.Creeping Buttercup,02FV.Cephus pygmaeus,49.70610238
CP,01PLANT.Creeping Buttercup,02FV.Ceraphron trissacantha,720.380929
CP,01PLANT.Charlock,02FV.Cetema elongata,720.380929
CP,01PLANT.Creeping Buttercup,02FV.Cheilosia albitarsis,747.57433
GM,01PLANT.Creeping Buttercup,02FV.Cheilosia albitarsis,18.99383363
NH,01PLANT.Creeping Buttercup,02FV.Cheilosia albitarsis,8.708770463
RG,01PLANT.Creeping Thistle,02FV.Cheilosia honesta,49.70610238
RG,01PLANT.Hogweed,02FV.Cheilosia illustrata,49.70610238
RG,01PLANT.Upright Hedge-parsley,02FV.Cheilosia pagana,49.70610238
RG,01PLANT.Upright Hedge-parsley,02FV.Cheilosia proxima,49.70610238
RG,01PLANT.Upright Hedge-parsley,02FV.Cheilosia proxima group sp. D,49.70610238
NH,01PLANT.Hogweed,02FV.Chloromyia formosa,8.708770463
NL,01PLANT.Creeping Buttercup,02FV.Chloromyia formosa,604.9422397
PP,01PLANT.Creeping Buttercup,02FV.Chloromyia formosa,739.5790043
GM,01PLANT.Cow Parsley,02FV.Chlorops hypostigma,18.99383363
MH,01PLANT.Cow Parsley,02FV.Chlorops hypostigma,433.263384
MH,01PLANT.Hawthorn,02FV.Chlorops hypostigma,19.69379018
MH,01PLANT.Hogweed,02FV.Chlorops hypostigma,78.77516072
RG,01PLANT.Hogweed,02FV.Chlorops hypostigma,198.8244095
GM,01PLANT.Cow Parsley,02FV.Chlorops pumilionis,18.99383363
MH,01PLANT.Hogweed,02FV.Chlorops pumilionis,19.69379018
NH,01PLANT.Hawthorn,02FV.Chlorops pumilionis,26.12631139
RG,01PLANT.Hogweed,02FV.Chorebus sp,99.41220475
PP,01PLANT.Creeping Buttercup,02FV.Chorebus sp nov,1479.158009
RG,01PLANT.Creeping Buttercup,02FV.Chromatomyia nigra,49.70610238
NH,01PLANT.Creeping Thistle,02FV.Chrysopilus asiliformis,8.708770463
RG,01PLANT.Mayweed sp,02FV.Chrysotoxum bicinctum,99.41220475
CP,01PLANT.Charlock,02FV.Chrysotus sp,720.380929
MH,01PLANT.Bramble,02FV.Chrysotus sp,39.38758037
PP,01PLANT.Clover sp,02FV.Chrysotus sp,1109.368507
RG,01PLANT.Bramble,02FV.Chrysotus sp,99.41220475
RG,01PLANT.Creeping Buttercup,02FV.Chrysotus sp,49.70610238
WD,01PLANT.Bramble,02FV.Chrysotus sp,74.57591465
MH,01PLANT.Bramble,02FV.Coccinella septempunctata,39.38758037
RG,01PLANT.Upright Hedge-parsley,02FV.Coenosia tigrina,49.70610238
MH,01PLANT.Upright Hedge-parsley,02FV.Copromyza similes,39.38758037
MH,01PLANT.Bramble,02FV.Crossopalpus sp,39.38758037
GM,01PLANT.Cow Parsley,02FV.Dacnusa (maculipes),18.99383363
CP,01PLANT.Charlock,02FV.Delia sp,7231.002691
CP,01PLANT.Common Poppy,02FV.Delia sp,771.0842595
CP,01PLANT.Creeping Buttercup,02FV.Delia sp,696.2876156
CP,01PLANT.Mayweed sp,02FV.Delia sp,3497.663914
GM,01PLANT.Creeping Buttercup,02FV.Delia sp,1110.539222
LP,01PLANT.Creeping Buttercup,02FV.Delia sp,476.1544443
MH,01PLANT.Bindweed sp,02FV.Delia sp,52.51677382
MH,01PLANT.Cow Parsley,02FV.Delia sp,39.38758036
NH,01PLANT.Creeping Buttercup,02FV.Delia sp,13.0631557
NH,01PLANT.Hawthorn,02FV.Delia sp,13.0631557
NL,01PLANT.Mayweed sp,02FV.Delia sp,2419.768959
PP,01PLANT.Autumn Hawkbit,02FV.Delia sp,1479.158009
PP,01PLANT.Creeping Buttercup,02FV.Delia sp,6656.211041
RG,01PLANT.Creeping Buttercup,02FV.Delia sp,49.70610238
RG,01PLANT.Creeping Thistle,02FV.Delia sp,49.70610238
RG,01PLANT.Hogweed,02FV.Delia sp,546.7671262
RG,01PLANT.Mayweed sp,02FV.Delia sp,695.8854333
NL,01PLANT.Creeping Buttercup,02FV.Demetrias atricapillus,604.9422397
CP,01PLANT.Creeping Buttercup,02FV.Desmometopa sp,747.57433
GM,01PLANT.Cow Parsley,02FV.Dicraeus tibialis,18.99383363
RG,01PLANT.Hogweed,02FV.Dicraeus vagans,397.648819
MH,01PLANT.Creeping Thistle,02FV.Dilophus febrilis,98.4689509
MH,01PLANT.Hawthorn,02FV.Dilophus febrilis,19.69379018
NH,01PLANT.Creeping Thistle,02FV.Dilophus febrilis,6.531577848
RG,01PLANT.Creeping Thistle,02FV.Dilophus febrilis,99.41220476
CP,01PLANT.Charlock,02FV.Diospilus capito,720.380929
LP,01PLANT.Creeping Buttercup,02FV.Diplonevra sp,476.1544443
PP,01PLANT.Creeping Buttercup,02FV.Diplonevra sp,1109.368507
RG,01PLANT.Hogweed,02FV.Diplonevra sp,49.70610238
NH,01PLANT.Wild Privet,02FV.Dolerus haematodes,6.531577848
CP,01PLANT.Mayweed sp,02FV.Dolichopus festivus,2777.926462
GM,01PLANT.Creeping Buttercup,02FV.Dolichopus festivus,18.99383363
RG,01PLANT.Creeping Buttercup,02FV.Dolichopus festivus,49.70610238
MH,01PLANT.Cow Parsley,02FV.Dolichopus ungulatus,39.38758037
RG,01PLANT.Upright Hedge-parsley,02FV.Ectemnius cephalotes,49.70610238
MH,01PLANT.Cow Parsley,02FV.Empis (Xanthempis) sp,19.69379018
MH,01PLANT.Cow Parsley,02FV.Empis caudatula,39.38758037
NH,01PLANT.Hogweed,02FV.Empis chioptera,13.0631557
CP,01PLANT.Charlock,02FV.Empis livida,14087.16448
CP,01PLANT.Creeping Buttercup,02FV.Empis livida,747.57433
CP,01PLANT.Field Forget-me-not,02FV.Empis livida,747.57433
CP,01PLANT.Hairy Tare,02FV.Empis livida,2990.29732
CP,01PLANT.Mayweed sp,02FV.Empis livida,8152.006349
CP,01PLANT.Shepherd's Purse,02FV.Empis livida,747.57433
GM,01PLANT.Creeping Buttercup,02FV.Empis livida,189.9383363
LP,01PLANT.Clover sp,02FV.Empis livida,2409.239841
MH,01PLANT.Bramble,02FV.Empis livida,137.8565313
MH,01PLANT.Cow Parsley,02FV.Empis livida,78.77516072
MH,01PLANT.Creeping Buttercup,02FV.Empis livida,19.69379018
MH,01PLANT.Hogweed,02FV.Empis livida,78.77516072
MH,01PLANT.Red Campion,02FV.Empis livida,39.38758036
NH,01PLANT.Common Mouse-ear,02FV.Empis livida,6.531577848
NH,01PLANT.Creeping Buttercup,02FV.Empis livida,34.83508185
NH,01PLANT.Creeping Thistle,02FV.Empis livida,82.73331942
NH,01PLANT.Dogwood,02FV.Empis livida,43.54385232
NH,01PLANT.Lesser Stitchwort,02FV.Empis livida,26.12631139
NH,01PLANT.Spear Thistle,02FV.Empis livida,43.54385232
NH,01PLANT.Wayfaring-tree,02FV.Empis livida,8.708770463
NL,01PLANT.Creeping Buttercup,02FV.Empis livida,604.9422397
NL,01PLANT.Creeping Thistle,02FV.Empis livida,604.9422397
PP,01PLANT.Common Mouse-ear,02FV.Empis livida,739.5790043
PP,01PLANT.Creeping Buttercup,02FV.Empis livida,2218.737013
PP,01PLANT.Daisy,02FV.Empis livida,1479.158009
PP,01PLANT.Mayweed sp,02FV.Empis livida,1109.368507
RG,01PLANT.Bindweed sp,02FV.Empis livida,99.41220475
RG,01PLANT.Bramble,02FV.Empis livida,149.1183071
RG,01PLANT.Common Poppy,02FV.Empis livida,49.70610238
RG,01PLANT.Common Vetch,02FV.Empis livida,99.41220476
RG,01PLANT.Creeping Buttercup,02FV.Empis livida,49.70610238
RG,01PLANT.Creeping Thistle,02FV.Empis livida,99.41220476
RG,01PLANT.Hogweed,02FV.Empis livida,298.2366143
RG,01PLANT.Oil Seed Rape,02FV.Empis livida,149.1183071
WD,01PLANT.Bramble,02FV.Empis livida,149.1518293
MH,01PLANT.Cow Parsley,02FV.Empis nigripes,118.1627411
CP,01PLANT.Corn Spurrey,02FV.Empis nuntia,696.2876156
MH,01PLANT.Cow Parsley,02FV.Endasys sp,39.38758037
CP,01PLANT.Creeping Buttercup,02FV.Episyrphus balteatus,747.57433
MH,01PLANT.Bramble,02FV.Episyrphus balteatus,39.38758036
MH,01PLANT.Cow Parsley,02FV.Episyrphus balteatus,39.38758037
MH,01PLANT.Upright Hedge-parsley,02FV.Episyrphus balteatus,39.38758037
RG,01PLANT.Creeping Thistle,02FV.Episyrphus balteatus,49.70610238
RG,01PLANT.Upright Hedge-parsley,02FV.Episyrphus balteatus,99.41220476
WD,01PLANT.Bramble,02FV.Episyrphus balteatus,149.1518293
MH,01PLANT.Rose sp,02FV.Epuraea melanocephala,157.5503215
WD,01PLANT.Wild Privet,02FV.Epuraea melanocephala,3132.188415
NH,01PLANT.Ragwort,02FV.Eriothrix rufomaculata,6.531577848
RG,01PLANT.Creeping Thistle,02FV.Eriothrix rufomaculata,49.70610238
CP,01PLANT.Mayweed sp,02FV.Eristalis arbustorum,1363.289827
SF,01PLANT.Creeping Thistle,02FV.Eristalis arbustorum,1150.449952
NH,01PLANT.Ragwort,02FV.Eristalis arbustorum,13.0631557
RG,01PLANT.Corn Mint,02FV.Eristalis arbustorum,99.41220475
RG,01PLANT.Mayweed sp,02FV.Eristalis arbustorum,99.41220475
MH,01PLANT.Bramble,02FV.Eristalis pertinax,59.08137055
NH,01PLANT.Ragwort,02FV.Eristalis pertinax,13.0631557
RG,01PLANT.Hogweed,02FV.Eristalis pertinax,99.41220476
WD,01PLANT.Bramble,02FV.Eristalis pertinax,74.57591465
NH,01PLANT.Ragwort,02FV.Eristalis tenax,17.41754093
NL,01PLANT.Mayweed sp,02FV.Eristalis tenax,604.9422397
MH,01PLANT.Hogweed,02FV.Eudasyphora cyanella,19.69379018
NL,01PLANT.Mayweed sp,02FV.Eudasyphora cyanella,604.9422397
CP,01PLANT.Mayweed sp,02FV.Eupeodes corollae,1542.168519
LP,01PLANT.Clover sp,02FV.Eupeodes corollae,476.1544443
NH,01PLANT.Ragwort,02FV.Eupeodes corollae,6.531577848
RG,01PLANT.Bindweed sp,02FV.Eupeodes luniger,49.70610238
MH,01PLANT.Cow Parsley,02FV.Fannia serena,19.69379018
CP,01PLANT.Hairy Tare,02FV.Fannia sp,747.57433
GM,01PLANT.Creeping Buttercup,02FV.Fannia sp,18.99383363
MH,01PLANT.Cow Parsley,02FV.Fannia sp,39.38758036
MH,01PLANT.Hogweed,02FV.Fannia sp,19.69379018
RG,01PLANT.Bramble,02FV.Fannia sp,99.41220475
RG,01PLANT.Creeping Buttercup,02FV.Fannia sp,99.41220476
RG,01PLANT.Hogweed,02FV.Formicidae A,49.70610238
GM,01PLANT.Creeping Buttercup,02FV.Formicidae B,37.98766726
PP,01PLANT.Creeping Buttercup,02FV.Formicidae B,1479.158009
CP,01PLANT.Mayweed sp,02FV.Gastrophysa viridular,2313.252779
LU,01PLANT.zCROP Lucerne,02FV.Gastrophysa viridular,1139.866279
LP,01PLANT.Creeping Buttercup,02FV.Geomyza tripunctata,952.3088886
CP,01PLANT.Creeping Buttercup,02FV.Glyphipterix simpliciella,747.57433
GM,01PLANT.Creeping Buttercup,02FV.Glyphipterix simpliciella,246.9198372
MH,01PLANT.Creeping Buttercup,02FV.Glyphipterix simpliciella,19.69379018
MH,01PLANT.Hawthorn,02FV.Glyphipterix simpliciella,19.69379018
NH,01PLANT.Creeping Buttercup,02FV.Glyphipterix simpliciella,19.59473354
RG,01PLANT.Hogweed,02FV.Glyphipterix simpliciella,49.70610238
MH,01PLANT.Hogweed,02FV.Grammoptera ruficornis,19.69379018
RG,01PLANT.Hogweed,02FV.Grammoptera ruficornis,99.41220475
PP,01PLANT.Autumn Hawkbit,02FV.Halticoptera sp,1479.158009
MH,01PLANT.Cow Parsley,02FV.Helina sp,78.77516072
PP,01PLANT.Creeping Buttercup,02FV.Helina sp,739.5790043
CP,01PLANT.Sow-thistle sp,02FV.Helophilus pendulus,747.57433
NH,01PLANT.Creeping Thistle,02FV.Helophilus pendulus,13.0631557
CP,01PLANT.Mayweed sp,02FV.Helophilus trivittatus,771.0842595
RG,01PLANT.Creeping Buttercup,02FV.Hemicrepidius hirtus,49.70610238
RG,01PLANT.Hogweed,02FV.Hemicrepidius hirtus,248.5305119
WD,01PLANT.Germander Speedwell,02FV.Hercostomus parvilamellatus,74.57591465
WD,01PLANT.Woodruff,02FV.Hercostomus parvilamellatus,74.57591465
NH,01PLANT.Ragwort,02FV.Herina longistylata,6.531577848
RG,01PLANT.Creeping Thistle,02FV.Heteronychia vagans,49.70610238
PP,01PLANT.Autumn Hawkbit,02FV.Hexacola hexatoma,1479.158009
CP,01PLANT.Mayweed sp,02FV.Hydrellia griseola,592.2055676
PP,01PLANT.Creeping Buttercup,02FV.Hydrellia griseola,1109.368507
PP,01PLANT.Mayweed sp,02FV.Hydrellia griseola,1109.368507
RG,01PLANT.Mayweed sp,02FV.Hydrellia griseola,198.8244095
GM,01PLANT.Creeping Buttercup,02FV.Hydrellia maura,18.99383363
PP,01PLANT.Creeping Buttercup,02FV.Hydrellia maura,739.5790043
NL,01PLANT.Mayweed sp,02FV.Hylaeus communis,604.9422397
GM,01PLANT.Creeping Buttercup,02FV.Hylaeus hyalinatus,277.6348056
LP,01PLANT.Creeping Buttercup,02FV.Hylemya urbica/variata,476.1544443
MH,01PLANT.Cow Parsley,02FV.Hylemya vagans,19.69379018
RG,01PLANT.Creeping Buttercup,02FV.Hylemya vagans,49.70610238
WD,01PLANT.Cleavers,02FV.Hylemya vagans,298.3036586
GM,01PLANT.Creeping Buttercup,02FV.Hylemya variata,277.6348056
WD,01PLANT.Bramble,02FV.Hylemya variata,74.57591465
MH,01PLANT.Bramble,02FV.Ichneumonidae,19.69379018
PP,01PLANT.Autumn Hawkbit,02FV.Kleidotoma tetratoma,10354.10606
MH,01PLANT.Creeping Thistle,02FV.Kuzinia sp,19.69379018
MH,01PLANT.Creeping Thistle,02FV.Lasioglossum sp,39.38758036
RG,01PLANT.Creeping Thistle,02FV.Lasioglossum sp,49.70610238
NH,01PLANT.Creeping Buttercup,02FV.Limnia unguicornis,13.0631557
MH,01PLANT.Hogweed,02FV.Limnophora triangula,19.69379018
CP,01PLANT.Charlock,02FV.Lonchoptera lutea,720.380929
NL,01PLANT.Creeping Buttercup,02FV.Lonchoptera lutea,604.9422397
RG,01PLANT.Creeping Buttercup,02FV.Lonchoptera lutea,49.70610238
CP,01PLANT.Common Field Speedwell,02FV.Longitarsus sp,720.380929
LP,01PLANT.Creeping Buttercup,02FV.Lotophila atra,476.1544443
PP,01PLANT.Creeping Buttercup,02FV.Lotophila atra,739.5790043
NH,01PLANT.Ragwort,02FV.Lucilia caesar,6.531577848
RG,01PLANT.Creeping Thistle,02FV.Lucilia caesar,99.41220475
NH,01PLANT.Ragwort,02FV.Lucilia richardsi,6.531577848
MH,01PLANT.Creeping Thistle,02FV.Lucilia sericata,39.38758037
NH,01PLANT.Ragwort,02FV.Lucilia sericata,6.531577848
CP,01PLANT.Creeping Buttercup,02FV.Malachius bipustulatus,747.57433
GM,01PLANT.Creeping Buttercup,02FV.Malachius bipustulatus,18.99383363
NH,01PLANT.Hawthorn,02FV.Malachius bipustulatus,39.18946709
RG,01PLANT.Creeping Buttercup,02FV.Malachius bipustulatus,49.70610238
MH,01PLANT.Bramble,02FV.Malthodes minimus,39.38758037
PP,01PLANT.Clover sp,02FV.Maniola jurtina,739.5790043
GM,01PLANT.Creeping Buttercup,02FV.Megaselia sp,18.99383363
LP,01PLANT.Creeping Buttercup,02FV.Melangyna sp,2409.239841
CP,01PLANT.Charlock,02FV.Melanostoma mellinum,665.626988
CP,01PLANT.Creeping Buttercup,02FV.Melanostoma mellinum,1472.760062
CP,01PLANT.Mayweed sp,02FV.Melanostoma mellinum,1184.411135
GM,01PLANT.Creeping Buttercup,02FV.Melanostoma mellinum,277.6348056
NH,01PLANT.Creeping Thistle,02FV.Melanostoma mellinum,13.0631557
RG,01PLANT.Bindweed sp,02FV.Melanostoma mellinum,49.70610238
RG,01PLANT.Creeping Buttercup,02FV.Melanostoma mellinum,49.70610238
RG,01PLANT.Mayweed sp,02FV.Melanostoma mellinum,99.41220475
MH,01PLANT.Bramble,02FV.Melanostoma scalare,118.1627411
MH,01PLANT.Red Campion,02FV.Melanostoma scalare,19.69379018
MH,01PLANT.Upright Hedge-parsley,02FV.Melanostoma scalare,39.38758037
MH,01PLANT.Creeping Buttercup,02FV.Melanostoma sp,19.69379018
MH,01PLANT.Hogweed,02FV.Melinda viridicyanea,19.69379018
NH,01PLANT.Ragwort,02FV.Melinda viridicyanea,13.0631557
RG,01PLANT.Creeping Thistle,02FV.Melinda viridicyanea,49.70610238
LP,01PLANT.Clover sp,02FV.Metasyrphus luniger,476.1544443
CP,01PLANT.Creeping Buttercup,02FV.Metopina sp,1776.616703
GM,01PLANT.Autumn Hawkbit,02FV.Metopina sp,370.1797407
NH,01PLANT.Creeping Buttercup,02FV.Metopina sp,39.1894671
PP,01PLANT.Autumn Hawkbit,02FV.Metopina sp,4437.474027
PP,01PLANT.Creeping Buttercup,02FV.Metopina sp,3328.105521
NH,01PLANT.Hogweed,02FV.Microchrysa polita,13.0631557
MH,01PLANT.Cow Parsley,02FV.Microphor anomalus,19.69379018
GM,01PLANT.Creeping Buttercup,02FV.Micropterix calthella,832.9044168
MH,01PLANT.Cow Parsley,02FV.Miscogaster maculata,19.69379018
RG,01PLANT.Upright Hedge-parsley,02FV.Musca autumnalis,49.70610238
MH,01PLANT.Upright Hedge-parsley,02FV.Neoascia podagrica,52.51677382
RG,01PLANT.Bramble,02FV.Neoascia podagrica,99.41220475
RG,01PLANT.Oil Seed Rape,02FV.Neoascia podagrica,49.70610238
CP,01PLANT.Creeping Thistle,02FV.Neomyia cornicina,1472.760062
CP,01PLANT.Mayweed sp,02FV.Neomyia cornicina,2313.252779
MH,01PLANT.Hogweed,02FV.Neomyia cornicina,19.69379018
NH,01PLANT.Common Mouse-ear,02FV.Neomyia cornicina,6.531577848
NH,01PLANT.Ragwort,02FV.Neomyia cornicina,13.0631557
RG,01PLANT.Creeping Thistle,02FV.Neomyia cornicina,99.41220476
RG,01PLANT.Upright Hedge-parsley,02FV.Neomyia cornicina,49.70610238
NH,01PLANT.Ragwort,02FV.Neomyia viridescens,6.531577848
RG,01PLANT.Creeping Thistle,02FV.Neomyia viridescens,49.70610238
GM,01PLANT.Clover sp,02FV.Norellisoma spinimanum,18.99383363
CP,01PLANT.Mayweed sp,02FV.Oedemera lurida,771.0842595
GM,01PLANT.Creeping Buttercup,02FV.Oedemera lurida,555.2696112
NH,01PLANT.Creeping Buttercup,02FV.Oedemera lurida,21.77192616
RG,01PLANT.Corn Mint,02FV.Oedemera lurida,99.41220475
RG,01PLANT.Creeping Buttercup,02FV.Oedemera lurida,99.41220475
CP,01PLANT.Mayweed sp,02FV.Oedemera nobilis,1472.760062
GM,01PLANT.Creeping Buttercup,02FV.Oedemera nobilis,870.8920841
MH,01PLANT.Bramble,02FV.Oedemera nobilis,39.38758037
NH,01PLANT.Creeping Buttercup,02FV.Oedemera nobilis,60.96139326
NH,01PLANT.Hawthorn,02FV.Oedemera nobilis,13.0631557
