"node_id","node_name","taxon"
205,"Aphis rumicis","Aphid"
206,"Aphis urticae","Aphid"
207,"Brachycaudus helichrysii","Aphid"
208,"Capitophorus elaeagnii","Aphid"
209,"Cavariella aegopodii","Aphid"
210,"Cryptomyzus korschelti","Aphid"
211,"Dysaphis species 1","Aphid"
212,"Hyperomyzus lactucae","Aphid"
213,"Lipaphys erysimi","Aphid"
214,"Macrosiphum funestum","Aphid"
215,"Metopolophium dihrodum","Aphid"
216,"Microlophium carnosum","Aphid"
217,"Myzocallis coryli","Aphid"
218,"Myzus persicae","Aphid"
219,"Nasonvoia ribisnigri","Aphid"
220,"Phorodon humuli","Aphid"
221,"Sipha maydis","Aphid"
222,"Sitobion avenae","Aphid"
223,"Sitobion fragariae","Aphid"
224,"Therioaphis trifoli","Aphid"
225,"Tubaphis ranunculina","Aphid"
226,"Uroleucon aeneum","Aphid"
227,"Uroleucon cirsii","Aphid"
228,"Uroleucon sonchi","Aphid"
229,"Aphidius ervi","Primary aphid parasitoid"
230,"Aphidius funebris","Primary aphid parasitoid"
231,"Aphidius matricariae","Primary aphid parasitoid"
232,"Aphidius picipes?","Primary aphid parasitoid"
233,"Aphidius rhopalosiphi?","Primary aphid parasitoid"
234,"Ephedrus plagiator","Primary aphid parasitoid"
235,"Praon dorsale?","Primary aphid parasitoid"
236,"Praon exoletum?","Primary aphid parasitoid"
237,"Praon sp nr flavinode","Primary aphid parasitoid"
238,"Praon volucre","Primary aphid parasitoid"
239,"Trioxys B","Primary aphid parasitoid"
240,"Alloxysta victrix","Secondary aphid parasitoid"
241,"Asaphes suspensus","Secondary aphid parasitoid"
242,"Asaphes vulgaris","Secondary aphid parasitoid"
243,"Coruna clavata","Secondary aphid parasitoid"
244,"Dendrocerus aphidum","Secondary aphid parasitoid"
245,"Dendrocerus carpenteri","Secondary aphid parasitoid"
246,"Pachyneuron sp","Secondary aphid parasitoid"
247,"Achrysocharoides acerianus","Leaf-miner parasitoid"
248,"Achrysocharoides atys","Leaf-miner parasitoid"
249,"Achrysocharoides butus","Leaf-miner parasitoid"
250,"Achrysocharoides latreillei","Leaf-miner parasitoid"
251,"Adelius sp","Leaf-miner parasitoid"
252,"Adelurola florimela","Leaf-miner parasitoid"
253,"Alysiinae sp","Leaf-miner parasitoid"
254,"Anagrus sp A","Leaf-miner parasitoid"
255,"Anagrus sp B","Leaf-miner parasitoid"
256,"Anagrus sp C","Leaf-miner parasitoid"
257,"Apanteles circumscriptus","Leaf-miner parasitoid"
258,"Aphanogmus microneurus","Leaf-miner parasitoid"
259,"Aphanogmus sp","Leaf-miner parasitoid"
260,"Apodesmia A","Leaf-miner parasitoid"
261,"Apodesmia curvata","Leaf-miner parasitoid"
262,"Apodesmia irregularis","Leaf-miner parasitoid"
263,"Apodesmia ocellata","Leaf-miner parasitoid"
264,"Apodesmia rufipes","Leaf-miner parasitoid"
265,"Apodesmia similis","Leaf-miner parasitoid"
266,"Asaphes suspensus","Leaf-miner parasitoid"
267,"Ascogaster varipes","Leaf-miner parasitoid"
268,"Bracon sp","Leaf-miner parasitoid"
269,"Campoplex sp","Leaf-miner parasitoid"
270,"Chelonus scabrosus","Leaf-miner parasitoid"
271,"Chelonus sp","Leaf-miner parasitoid"
272,"Chelonus sp aff rimatus","Leaf-miner parasitoid"
273,"Chorebus A","Leaf-miner parasitoid"
274,"Chorebus amasis","Leaf-miner parasitoid"
275,"Chorebus aphantus","Leaf-miner parasitoid"
276,"Chorebus B","Leaf-miner parasitoid"
277,"Chorebus C","Leaf-miner parasitoid"
278,"Chorebus E","Leaf-miner parasitoid"
279,"Chorebus fallaciosae","Leaf-miner parasitoid"
280,"Chorebus lateralis","Leaf-miner parasitoid"
281,"Chorebus leptogaster","Leaf-miner parasitoid"
282,"Chorebus tanis","Leaf-miner parasitoid"
283,"Chrysocharis chilo","Leaf-miner parasitoid"
284,"Chrysocharis laomedon","Leaf-miner parasitoid"
285,"Chrysocharis orbicularis","Leaf-miner parasitoid"
286,"Chrysocharis pentheus","Leaf-miner parasitoid"
287,"Chrysocharis polyzo","Leaf-miner parasitoid"
288,"Chrysocharis prodice","Leaf-miner parasitoid"
289,"Chrysocharis pubicornis","Leaf-miner parasitoid"
290,"Chrysocharis viridis","Leaf-miner parasitoid"
291,"Cirrospilus diallus","Leaf-miner parasitoid"
292,"Cirrospilus lyncus","Leaf-miner parasitoid"
293,"Cirrospilus vittatus","Leaf-miner parasitoid"
294,"Colastes braconius","Leaf-miner parasitoid"
295,"Colastes sp aff braconius","Leaf-miner parasitoid"
296,"Coloneura (ate)","Leaf-miner parasitoid"
297,"Cyrtogaster vulgaris","Leaf-miner parasitoid"
298,"Dacnusa adducta","Leaf-miner parasitoid"
299,"Dacnusa areolaris","Leaf-miner parasitoid"
300,"Dacnusa laevipectus","Leaf-miner parasitoid"
301,"Dacnusa macrospila","Leaf-miner parasitoid"
302,"Dacnusa maculipes/confinis","Leaf-miner parasitoid"
303,"Dacnusa tarsalis","Leaf-miner parasitoid"
304,"Dacnusa temula","Leaf-miner parasitoid"
305,"Dapsilarthra rufiventris","Leaf-miner parasitoid"
306,"Desmiostoma parvulum","Leaf-miner parasitoid"
307,"Diadegma crataegi","Leaf-miner parasitoid"
308,"Diglyphus chabrias","Leaf-miner parasitoid"
309,"Diglyphus isaea","Leaf-miner parasitoid"
310,"Epiclerus temenus","Leaf-miner parasitoid"
311,"Eulophinae sp","Leaf-miner parasitoid"
312,"Exotela cyclogaster","Leaf-miner parasitoid"
313,"Exotela flavicoxa","Leaf-miner parasitoid"
314,"Exotela gilvipes","Leaf-miner parasitoid"
315,"Exotela spinifer","Leaf-miner parasitoid"
316,"Forsterella sp","Leaf-miner parasitoid"
317,"Gelis anthracinus","Leaf-miner parasitoid"
318,"Gelis bicolor","Leaf-miner parasitoid"
319,"Hemiptarsenus dropion","Leaf-miner parasitoid"
320,"Hemiptarsenus fulvicollis","Leaf-miner parasitoid"
321,"Hemiptarsenus unguicellus","Leaf-miner parasitoid"
322,"Ionympha carne","Leaf-miner parasitoid"
323,"Microgastrinae sp","Leaf-miner parasitoid"
324,"Miscogaster hortensis","Leaf-miner parasitoid"
325,"Miscogaster maculata","Leaf-miner parasitoid"
326,"Opiinae sp","Leaf-miner parasitoid"
327,"Opius s.s.","Leaf-miner parasitoid"
328,"Opius s.s. lugens","Leaf-miner parasitoid"
329,"Opius sp","Leaf-miner parasitoid"
330,"Pediobius acantha","Leaf-miner parasitoid"
331,"Phaedrotoma exigua","Leaf-miner parasitoid"
332,"Phaedrotoma variegata","Leaf-miner parasitoid"
333,"Pnigalio soemius","Leaf-miner parasitoid"
334,"Seladerma diffine","Leaf-miner parasitoid"
335,"Seladerma tarsale","Leaf-miner parasitoid"
336,"Sympiesis gordius","Leaf-miner parasitoid"
337,"Sympiesis sericeicornis","Leaf-miner parasitoid"
338,"Synopeas rhanis","Leaf-miner parasitoid"
339,"Torymus sp","Leaf-miner parasitoid"
340,"Blastodacna hellerella","Seed-feeding insect"
341,"Bruchidius varius","Seed-feeding insect"
342,"Bruchophagus gibbus","Seed-feeding insect"
343,"Curtonotus aulicus","Seed-feeding insect"
344,"Olibrus aeneus","Seed-feeding insect"
345,"Oxystoma pomonae","Seed-feeding insect"
346,"Protapion apricans","Seed-feeding insect"
347,"Protapion assimile","Seed-feeding insect"
348,"Protapion fulvipes","Seed-feeding insect"
349,"Protapion nigritarse","Seed-feeding insect"
350,"Protapion trifolii","Seed-feeding insect"
351,"Protapion varipes","Seed-feeding insect"
352,"Rhinocyllus conicus","Seed-feeding insect"
353,"Sitona lineatus","Seed-feeding insect"
354,"Sitona sulcifrons","Seed-feeding insect"
355,"Terellia longicauda","Seed-feeding insect"
356,"Terellia ruficauda","Seed-feeding insect"
357,"Terellia serratulae","Seed-feeding insect"
358,"Urophora stylata","Seed-feeding insect"
359,"Alauda arvensis","Seed-feeding bird"
360,"Alectoris rufa","Seed-feeding bird"
361,"Carduelis cannabina","Seed-feeding bird"
362,"Carduelis carduelis","Seed-feeding bird"
363,"Carduelis chloris","Seed-feeding bird"
364,"Columba palumbus","Seed-feeding bird"
365,"Corvus frugilegus","Seed-feeding bird"
366,"Corvus monedula","Seed-feeding bird"
367,"Emberiza citrinella","Seed-feeding bird"
368,"Fringilla coelebs","Seed-feeding bird"
369,"Passer domesticus","Seed-feeding bird"
370,"Streptopelia decaocto","Seed-feeding bird"
371,"Apodemus.flavicollis","Seed-feeding rodent"
372,"Apodemus.sylvaticus","Seed-feeding rodent"
373,"Micromys.minutus","Seed-feeding rodent"
374,"Myodes.glareolus","Seed-feeding rodent"
375,"Comma","Butterfly"
376,"Common blue","Butterfly"
377,"Gatekeeper","Butterfly"
378,"Green-veined White","Butterfly"
379,"Large Skipper","Butterfly"
380,"Large White","Butterfly"
381,"Meadow Brown","Butterfly"
382,"Painted Lady","Butterfly"
383,"Peacock","Butterfly"
384,"Red Admiral","Butterfly"
385,"Ringlet","Butterfly"
386,"Small copper","Butterfly"
387,"Small Skipper","Butterfly"
388,"Small tortoiseshell","Butterfly"
389,"Small white","Butterfly"
390,"Speckled wood","Butterfly"
391,"Aprostocetus sp","Insect seed-feeder parasitoid"
392,"Bracon immutator","Insect seed-feeder parasitoid"
393,"Bracon osculator","Insect seed-feeder parasitoid"
394,"Bracon praecox","Insect seed-feeder parasitoid"
395,"Crataepus marbis","Insect seed-feeder parasitoid"
396,"Eurytoma sp A","Insect seed-feeder parasitoid"
397,"Eurytoma sp B","Insect seed-feeder parasitoid"
398,"Mesopolobus incultus","Insect seed-feeder parasitoid"
399,"Pterandrophysalis levantina","Insect seed-feeder parasitoid"
400,"Pteromalus albipennis","Insect seed-feeder parasitoid"
401,"Pteromalus beryllii","Insect seed-feeder parasitoid"
402,"Pteromalus elevatus","Insect seed-feeder parasitoid"
403,"Pteromalus sequester-group","Insect seed-feeder parasitoid"
404,"Spintherus dubius","Insect seed-feeder parasitoid"
405,"Triaspis floricola","Insect seed-feeder parasitoid"
406,"Trichomalus campestris","Insect seed-feeder parasitoid"
407,"Trichomalus rufinus","Insect seed-feeder parasitoid"
408,"Amalaraeus penicilliger mustelae","Rodent ectoparasite"
409,"Ctenophthalmus nobilis vulgaris","Rodent ectoparasite"
410,"Hystrichopsylla talpae talpae","Rodent ectoparasite"
411,"Ixodes trianguliceps","Rodent ectoparasite"
412,"Megabothris turbidus","Rodent ectoparasite"
413,"Nosopsyllus fasciatus","Rodent ectoparasite"
414,"Palaeopsylla minor","Rodent ectoparasite"
415,"Palaeopsylla soricis soricis","Rodent ectoparasite"
416,"Agriotes pallidulus","Other flower visitors"
417,"Anapausis soluta","Other flower visitors"
418,"Anthocomus fasciatus","Other flower visitors"
419,"Anthomyia liturata","Other flower visitors"
420,"Anthomyia pluvialis","Other flower visitors"
421,"Anthomyza gracilis","Other flower visitors"
422,"Anthophila fabriciana","Other flower visitors"
423,"Aprostocetus sp","Other flower visitors"
424,"Asecodes coronis","Other flower visitors"
425,"Authonomus rubi","Other flower visitors"
426,"Azelia cilipes","Other flower visitors"
427,"Azelia zetterstedtii","Other flower visitors"
428,"Bicellaria vana","Other flower visitors"
429,"Bicellaria varia","Other flower visitors"
430,"Botanophila fugax","Other flower visitors"
431,"Botanophila striolata","Other flower visitors"
432,"Brachypterus urticae","Other flower visitors"
433,"Bracon sp","Other flower visitors"
434,"Bruchus rufimanus","Other flower visitors"
435,"Calliphora vomitoria","Other flower visitors"
436,"Cantharis decipiens","Other flower visitors"
437,"Cecidomyiidae sp","Other flower visitors"
438,"Centrorhynchus obstrictus","Other flower visitors"
439,"Cephus pygmaeus","Other flower visitors"
440,"Ceraphron trissacantha","Other flower visitors"
441,"Cetema elongata","Other flower visitors"
442,"Chorebus sp","Other flower visitors"
443,"Chorebus sp nov","Other flower visitors"
444,"Chromatomyia nigra","Other flower visitors"
445,"Chrysopilus asiliformis","Other flower visitors"
446,"Chrysotus sp","Other flower visitors"
447,"Coccinella septempunctata","Other flower visitors"
448,"Coenosia tigrina","Other flower visitors"
449,"Copromyza similes","Other flower visitors"
450,"Crossopalpus sp","Other flower visitors"
451,"Dacnusa (maculipes)","Other flower visitors"
452,"Demetrias atricapillus","Other flower visitors"
453,"Desmometopa sp","Other flower visitors"
454,"Dicraeus tibialis","Other flower visitors"
455,"Dicraeus vagans","Other flower visitors"
456,"Diospilus capito","Other flower visitors"
457,"Diplonevra sp","Other flower visitors"
458,"Dolerus haematodes","Other flower visitors"
459,"Dolichopus festivus","Other flower visitors"
460,"Dolichopus ungulatus","Other flower visitors"
461,"Ectemnius cephalotes","Other flower visitors"
462,"Empis (Xanthempis) sp","Other flower visitors"
463,"Empis caudatula","Other flower visitors"
464,"Empis chioptera","Other flower visitors"
465,"Empis nigripes","Other flower visitors"
466,"Empis nuntia","Other flower visitors"
467,"Endasys sp","Other flower visitors"
468,"Epuraea melanocephala","Other flower visitors"
469,"Fannia serena","Other flower visitors"
470,"Fannia sp","Other flower visitors"
471,"Formicidae A","Other flower visitors"
472,"Gastrophysa viridular","Other flower visitors"
473,"Geomyza tripunctata","Other flower visitors"
474,"Halticoptera sp","Other flower visitors"
475,"Helina sp","Other flower visitors"
476,"Hercostomus parvilamellatus","Other flower visitors"
477,"Herina longistylata","Other flower visitors"
478,"Heteronychia vagans","Other flower visitors"
479,"Hexacola hexatoma","Other flower visitors"
480,"Hydrellia griseola","Other flower visitors"
481,"Hydrellia maura","Other flower visitors"
482,"Hylemya urbica/variata","Other flower visitors"
483,"Hylemya vagans","Other flower visitors"
484,"Hylemya variata","Other flower visitors"
485,"Kleidotoma tetratoma","Other flower visitors"
486,"Kuzinia sp","Other flower visitors"
487,"Limnia unguicornis","Other flower visitors"
488,"Limnophora triangula","Other flower visitors"
489,"Longitarsus sp","Other flower visitors"
490,"Lotophila atra","Other flower visitors"
491,"Lucilia caesar","Other flower visitors"
492,"Malthodes minimus","Other flower visitors"
493,"Megaselia sp","Other flower visitors"
494,"Metopina sp","Other flower visitors"
495,"Microchrysa polita","Other flower visitors"
496,"Microphor anomalus","Other flower visitors"
497,"Micropterix calthella","Other flower visitors"
498,"Miscogaster maculata","Other flower visitors"
499,"Norellisoma spinimanum","Other flower visitors"
500,"Omphalapion hookerorum","Other flower visitors"
501,"Ophiomyia sp","Other flower visitors"
502,"Opomyza germinationis","Other flower visitors"
503,"Opomyza petrei","Other flower visitors"
504,"Oscinella cariciphila","Other flower visitors"
505,"Oscinella frit","Other flower visitors"
506,"Oscinella hortensis","Other flower visitors"
507,"Oscinella nigerrima","Other flower visitors"
508,"Oscinella nitidissima","Other flower visitors"
509,"Pegoplata aestiva or Adia cinerella","Other flower visitors"
510,"Pegoplata depilis","Other flower visitors"
511,"Pegoplata infirma","Other flower visitors"
512,"Phaenocarpa (ruficeps)","Other flower visitors"
513,"Phaonia lasiophthalma","Other flower visitors"
514,"Phradis morionellus","Other flower visitors"
515,"Phyllobius virideaeris","Other flower visitors"
516,"Phyllonorycter sp","Other flower visitors"
517,"Phytomyza cineracea","Other flower visitors"
518,"Phytomyza notata","Other flower visitors"
519,"Pimpla contemplator","Other flower visitors"
520,"Pionini sp","Other flower visitors"
521,"Plagiatrochus sp","Other flower visitors"
522,"Psallinae sp","Other flower visitors"
523,"Psocoptera sp","Other flower visitors"
524,"Psychodidae sp","Other flower visitors"
525,"Psyllidae sp","Other flower visitors"
526,"Pteromalidae","Other flower visitors"
527,"Rhagio notatus","Other flower visitors"
528,"Rhinophora lepida","Other flower visitors"
529,"Rhoptromeris heptoma","Other flower visitors"
530,"Rhoptromeris rufiventris","Other flower visitors"
531,"Saltella sphondylii","Other flower visitors"
532,"Scaptomyza flava","Other flower visitors"
533,"Scatopsidae sp","Other flower visitors"
534,"Sepsis cynipsea or neocynipsea","Other flower visitors"
535,"Sepsis flavimana","Other flower visitors"
536,"Sepsis orthocnemis","Other flower visitors"
537,"Sepsis violacea","Other flower visitors"
538,"Simulium sp","Other flower visitors"
539,"Sitona puncticollis","Other flower visitors"
540,"Stenodiplosis sp","Other flower visitors"
541,"Stenomalina sp","Other flower visitors"
542,"Sussaba cognata","Other flower visitors"
543,"Tersilochus sp","Other flower visitors"
544,"Tetramesa sp","Other flower visitors"
545,"Thaumatomyia glabra","Other flower visitors"
546,"Theroscopus sp","Other flower visitors"
547,"Tiphia minuta","Other flower visitors"
548,"Torymus sp","Other flower visitors"
549,"Tricimba cincta","Other flower visitors"
550,"Triphleba sp","Other flower visitors"
551,"Trybliographa erythrocera","Other flower visitors"
