"management","node_id","taxon_from","services","node_int","node_to","services_to","type","hop"
"E",516,"Butterfly","Pollination",91,499,"Bird watching","I",2
"E",516,"Butterfly","Pollination",91,500,"Crop damage","I",2
"E",516,"Butterfly","Pollination",91,500,"Seed dispersal","I",2
"E",516,"Butterfly","Pollination",91,501,"Crop damage","I",2
"E",516,"Butterfly","Pollination",91,501,"Seed dispersal","I",2
"E",516,"Butterfly","Pollination",91,501,"Bird watching","I",2
"E",516,"Butterfly","Pollination",91,503,"Crop damage","I",2
"E",516,"Butterfly","Pollination",91,503,"Bird watching","I",2
"E",516,"Butterfly","Pollination",91,504,"Crop damage","I",2
"E",516,"Butterfly","Pollination",91,504,"Seed dispersal","I",2
"E",516,"Butterfly","Pollination",91,505,"Crop damage","I",2
"E",516,"Butterfly","Pollination",95,295,"Pollination","I",2
"E",516,"Butterfly","Pollination",95,112,"Pollination","I",2
"E",516,"Butterfly","Pollination",95,126,"Pollination","I",2
"E",516,"Butterfly","Pollination",95,469,"Pest control","I",2
"E",516,"Butterfly","Pollination",95,445,"Pest control","I",2
"E",516,"Butterfly","Pollination",95,422,"Pest control","I",2
"E",516,"Butterfly","Pollination",95,438,"Pest control","I",2
"E",516,"Butterfly","Pollination",95,196,"None","I",2
"E",516,"Butterfly","Pollination",95,514,"Pollination","I",2
"E",516,"Butterfly","Pollination",95,514,"Butterfly watching","I",2
"E",516,"Butterfly","Pollination",95,523,"Pollination","I",2
"E",516,"Butterfly","Pollination",95,523,"Butterfly watching","I",2
"E",517,"Butterfly","Pollination",61,278,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,190,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,318,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,186,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,282,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,203,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,317,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,232,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,276,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,343,"None","I",2
"E",517,"Butterfly","Pollination",61,179,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,128,"None","I",2
"E",517,"Butterfly","Pollination",61,264,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,244,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,303,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,164,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,247,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,196,"None","I",2
"E",517,"Butterfly","Pollination",61,259,"None","I",2
"E",517,"Butterfly","Pollination",61,138,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,248,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,286,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,209,"None","I",2
"E",517,"Butterfly","Pollination",61,285,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,249,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,302,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,252,"None","I",2
"E",517,"Butterfly","Pollination",61,250,"None","I",2
"E",517,"Butterfly","Pollination",61,173,"None","I",2
"E",517,"Butterfly","Pollination",61,132,"None","I",2
"E",517,"Butterfly","Pollination",61,301,"None","I",2
"E",517,"Butterfly","Pollination",61,523,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,523,"Butterfly watching","I",2
"E",517,"Butterfly","Pollination",61,496,"Crop damage","I",2
"E",517,"Butterfly","Pollination",61,496,"Bird watching","I",2
"E",517,"Butterfly","Pollination",61,497,"Crop damage","I",2
"E",517,"Butterfly","Pollination",61,497,"Bird watching","I",2
"E",517,"Butterfly","Pollination",61,498,"Crop damage","I",2
"E",517,"Butterfly","Pollination",61,498,"Bird watching","I",2
"E",517,"Butterfly","Pollination",61,499,"Crop damage","I",2
"E",517,"Butterfly","Pollination",61,499,"Seed dispersal","I",2
"E",517,"Butterfly","Pollination",61,499,"Bird watching","I",2
"E",517,"Butterfly","Pollination",61,504,"Crop damage","I",2
"E",517,"Butterfly","Pollination",61,504,"Seed dispersal","I",2
"E",517,"Butterfly","Pollination",61,505,"Crop damage","I",2
"E",517,"Butterfly","Pollination",61,188,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,322,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,211,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,315,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,308,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,189,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,265,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,304,"None","I",2
"E",517,"Butterfly","Pollination",61,157,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,106,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,115,"None","I",2
"E",517,"Butterfly","Pollination",61,108,"None","I",2
"E",517,"Butterfly","Pollination",61,294,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,296,"None","I",2
"E",517,"Butterfly","Pollination",61,119,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,313,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,284,"Pollination","I",2
"E",517,"Butterfly","Pollination",61,116,"None","I",2
"E",517,"Butterfly","Pollination",61,328,"None","I",2
"E",517,"Butterfly","Pollination",61,319,"None","I",2
"E",523,"Butterfly","Pollination",14,421,"None","I",2
"E",523,"Butterfly","Pollination",14,430,"None","I",2
"E",523,"Butterfly","Pollination",14,482,"None","I",2
"E",523,"Butterfly","Pollination",14,483,"None","I",2
"E",523,"Butterfly","Pollination",14,486,"None","I",2
"E",523,"Butterfly","Pollination",14,508,"Crop damage","I",2
"E",523,"Butterfly","Pollination",14,513,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,513,"Butterfly watching","I",2
"E",523,"Butterfly","Pollination",14,525,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,525,"Butterfly watching","I",2
"E",523,"Butterfly","Pollination",14,496,"Crop damage","I",2
"E",523,"Butterfly","Pollination",14,496,"Bird watching","I",2
"E",523,"Butterfly","Pollination",14,497,"Crop damage","I",2
"E",523,"Butterfly","Pollination",14,497,"Bird watching","I",2
"E",523,"Butterfly","Pollination",14,498,"Crop damage","I",2
"E",523,"Butterfly","Pollination",14,498,"Bird watching","I",2
"E",523,"Butterfly","Pollination",14,499,"Crop damage","I",2
"E",523,"Butterfly","Pollination",14,499,"Seed dispersal","I",2
"E",523,"Butterfly","Pollination",14,499,"Bird watching","I",2
"E",523,"Butterfly","Pollination",14,500,"Crop damage","I",2
"E",523,"Butterfly","Pollination",14,500,"Seed dispersal","I",2
"E",523,"Butterfly","Pollination",14,502,"Crop damage","I",2
"E",523,"Butterfly","Pollination",14,502,"Seed dispersal","I",2
"E",523,"Butterfly","Pollination",14,503,"Crop damage","I",2
"E",523,"Butterfly","Pollination",14,503,"Bird watching","I",2
"E",523,"Butterfly","Pollination",14,504,"Crop damage","I",2
"E",523,"Butterfly","Pollination",14,504,"Seed dispersal","I",2
"E",523,"Butterfly","Pollination",14,124,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,323,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,112,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,445,"Pest control","I",2
"E",523,"Butterfly","Pollination",14,457,"Pest control","I",2
"E",523,"Butterfly","Pollination",14,423,"None","I",2
"E",523,"Butterfly","Pollination",14,484,"None","I",2
"E",523,"Butterfly","Pollination",14,246,"None","I",2
"E",523,"Butterfly","Pollination",14,267,"None","I",2
"E",523,"Butterfly","Pollination",14,512,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,512,"Butterfly watching","I",2
"E",523,"Butterfly","Pollination",14,522,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,522,"Butterfly watching","I",2
"E",523,"Butterfly","Pollination",14,515,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,515,"Butterfly watching","I",2
"E",523,"Butterfly","Pollination",14,236,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,123,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,126,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,190,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,127,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,337,"None","I",2
"E",523,"Butterfly","Pollination",14,447,"None","I",2
"E",523,"Butterfly","Pollination",14,113,"None","I",2
"E",523,"Butterfly","Pollination",14,101,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,303,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,179,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,284,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,302,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,314,"None","I",2
"E",523,"Butterfly","Pollination",14,276,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,122,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,360,"None","I",2
"E",523,"Butterfly","Pollination",14,300,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,109,"None","I",2
"E",523,"Butterfly","Pollination",14,125,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,469,"Pest control","I",2
"E",523,"Butterfly","Pollination",14,464,"None","I",2
"E",523,"Butterfly","Pollination",14,478,"None","I",2
"E",523,"Butterfly","Pollination",14,283,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,304,"None","I",2
"E",523,"Butterfly","Pollination",14,158,"None","I",2
"E",523,"Butterfly","Pollination",14,518,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,518,"Butterfly watching","I",2
"E",523,"Butterfly","Pollination",14,426,"None","I",2
"E",523,"Butterfly","Pollination",14,477,"None","I",2
"E",523,"Butterfly","Pollination",14,487,"None","I",2
"E",523,"Butterfly","Pollination",14,489,"None","I",2
"E",523,"Butterfly","Pollination",14,490,"None","I",2
"E",523,"Butterfly","Pollination",14,248,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,259,"None","I",2
"E",523,"Butterfly","Pollination",14,285,"Pollination","I",2
"E",523,"Butterfly","Pollination",14,506,"Crop damage","I",2
"E",523,"Butterfly","Pollination",95,295,"Pollination","I",2
"E",523,"Butterfly","Pollination",95,112,"Pollination","I",2
"E",523,"Butterfly","Pollination",95,126,"Pollination","I",2
"E",523,"Butterfly","Pollination",95,469,"Pest control","I",2
"E",523,"Butterfly","Pollination",95,445,"Pest control","I",2
"E",523,"Butterfly","Pollination",95,422,"Pest control","I",2
"E",523,"Butterfly","Pollination",95,438,"Pest control","I",2
"E",523,"Butterfly","Pollination",95,196,"None","I",2
"E",523,"Butterfly","Pollination",95,514,"Pollination","I",2
"E",523,"Butterfly","Pollination",95,514,"Butterfly watching","I",2
"E",523,"Butterfly","Pollination",95,516,"Pollination","I",2
"E",523,"Butterfly","Pollination",95,516,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",14,421,"None","I",2
"E",513,"Butterfly","Pollination",14,430,"None","I",2
"E",513,"Butterfly","Pollination",14,482,"None","I",2
"E",513,"Butterfly","Pollination",14,483,"None","I",2
"E",513,"Butterfly","Pollination",14,486,"None","I",2
"E",513,"Butterfly","Pollination",14,508,"Crop damage","I",2
"E",513,"Butterfly","Pollination",14,523,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,523,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",14,525,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,525,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",14,496,"Crop damage","I",2
"E",513,"Butterfly","Pollination",14,496,"Bird watching","I",2
"E",513,"Butterfly","Pollination",14,497,"Crop damage","I",2
"E",513,"Butterfly","Pollination",14,497,"Bird watching","I",2
"E",513,"Butterfly","Pollination",14,498,"Crop damage","I",2
"E",513,"Butterfly","Pollination",14,498,"Bird watching","I",2
"E",513,"Butterfly","Pollination",14,499,"Crop damage","I",2
"E",513,"Butterfly","Pollination",14,499,"Seed dispersal","I",2
"E",513,"Butterfly","Pollination",14,499,"Bird watching","I",2
"E",513,"Butterfly","Pollination",14,500,"Crop damage","I",2
"E",513,"Butterfly","Pollination",14,500,"Seed dispersal","I",2
"E",513,"Butterfly","Pollination",14,502,"Crop damage","I",2
"E",513,"Butterfly","Pollination",14,502,"Seed dispersal","I",2
"E",513,"Butterfly","Pollination",14,503,"Crop damage","I",2
"E",513,"Butterfly","Pollination",14,503,"Bird watching","I",2
"E",513,"Butterfly","Pollination",14,504,"Crop damage","I",2
"E",513,"Butterfly","Pollination",14,504,"Seed dispersal","I",2
"E",513,"Butterfly","Pollination",14,124,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,323,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,112,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,445,"Pest control","I",2
"E",513,"Butterfly","Pollination",14,457,"Pest control","I",2
"E",513,"Butterfly","Pollination",14,423,"None","I",2
"E",513,"Butterfly","Pollination",14,484,"None","I",2
"E",513,"Butterfly","Pollination",14,246,"None","I",2
"E",513,"Butterfly","Pollination",14,267,"None","I",2
"E",513,"Butterfly","Pollination",14,512,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,512,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",14,522,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,522,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",14,515,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,515,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",14,236,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,123,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,126,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,190,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,127,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,337,"None","I",2
"E",513,"Butterfly","Pollination",14,447,"None","I",2
"E",513,"Butterfly","Pollination",14,113,"None","I",2
"E",513,"Butterfly","Pollination",14,101,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,303,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,179,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,284,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,302,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,314,"None","I",2
"E",513,"Butterfly","Pollination",14,276,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,122,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,360,"None","I",2
"E",513,"Butterfly","Pollination",14,300,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,109,"None","I",2
"E",513,"Butterfly","Pollination",14,125,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,469,"Pest control","I",2
"E",513,"Butterfly","Pollination",14,464,"None","I",2
"E",513,"Butterfly","Pollination",14,478,"None","I",2
"E",513,"Butterfly","Pollination",14,283,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,304,"None","I",2
"E",513,"Butterfly","Pollination",14,158,"None","I",2
"E",513,"Butterfly","Pollination",14,518,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,518,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",14,426,"None","I",2
"E",513,"Butterfly","Pollination",14,477,"None","I",2
"E",513,"Butterfly","Pollination",14,487,"None","I",2
"E",513,"Butterfly","Pollination",14,489,"None","I",2
"E",513,"Butterfly","Pollination",14,490,"None","I",2
"E",513,"Butterfly","Pollination",14,248,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,259,"None","I",2
"E",513,"Butterfly","Pollination",14,285,"Pollination","I",2
"E",513,"Butterfly","Pollination",14,506,"Crop damage","I",2
"E",513,"Butterfly","Pollination",28,363,"None","I",2
"E",513,"Butterfly","Pollination",28,344,"None","I",2
"E",513,"Butterfly","Pollination",28,470,"None","I",2
"E",513,"Butterfly","Pollination",28,421,"None","I",2
"E",513,"Butterfly","Pollination",28,439,"None","I",2
"E",513,"Butterfly","Pollination",28,445,"Pest control","I",2
"E",513,"Butterfly","Pollination",28,389,"None","I",2
"E",513,"Butterfly","Pollination",28,433,"None","I",2
"E",513,"Butterfly","Pollination",28,131,"None","I",2
"E",513,"Butterfly","Pollination",28,244,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,514,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,514,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",28,516,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,516,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",28,517,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,517,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",28,519,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,519,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",28,523,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,523,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",28,525,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,525,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",28,496,"Crop damage","I",2
"E",513,"Butterfly","Pollination",28,496,"Bird watching","I",2
"E",513,"Butterfly","Pollination",28,497,"Crop damage","I",2
"E",513,"Butterfly","Pollination",28,497,"Bird watching","I",2
"E",513,"Butterfly","Pollination",28,498,"Crop damage","I",2
"E",513,"Butterfly","Pollination",28,498,"Bird watching","I",2
"E",513,"Butterfly","Pollination",28,499,"Crop damage","I",2
"E",513,"Butterfly","Pollination",28,499,"Seed dispersal","I",2
"E",513,"Butterfly","Pollination",28,499,"Bird watching","I",2
"E",513,"Butterfly","Pollination",28,502,"Crop damage","I",2
"E",513,"Butterfly","Pollination",28,502,"Seed dispersal","I",2
"E",513,"Butterfly","Pollination",28,504,"Crop damage","I",2
"E",513,"Butterfly","Pollination",28,504,"Seed dispersal","I",2
"E",513,"Butterfly","Pollination",28,505,"Crop damage","I",2
"E",513,"Butterfly","Pollination",28,426,"None","I",2
"E",513,"Butterfly","Pollination",28,452,"None","I",2
"E",513,"Butterfly","Pollination",28,425,"None","I",2
"E",513,"Butterfly","Pollination",28,454,"None","I",2
"E",513,"Butterfly","Pollination",28,451,"None","I",2
"E",513,"Butterfly","Pollination",28,407,"None","I",2
"E",513,"Butterfly","Pollination",28,492,"None","I",2
"E",513,"Butterfly","Pollination",28,521,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,521,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",28,524,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,524,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",28,520,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,520,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",28,362,"None","I",2
"E",513,"Butterfly","Pollination",28,464,"None","I",2
"E",513,"Butterfly","Pollination",28,435,"None","I",2
"E",513,"Butterfly","Pollination",28,471,"None","I",2
"E",513,"Butterfly","Pollination",28,438,"Pest control","I",2
"E",513,"Butterfly","Pollination",28,313,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,515,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,515,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",28,318,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,279,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,219,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,124,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,123,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,408,"None","I",2
"E",513,"Butterfly","Pollination",28,391,"None","I",2
"E",513,"Butterfly","Pollination",28,218,"None","I",2
"E",513,"Butterfly","Pollination",28,260,"None","I",2
"E",513,"Butterfly","Pollination",28,303,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,169,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,329,"None","I",2
"E",513,"Butterfly","Pollination",28,296,"None","I",2
"E",513,"Butterfly","Pollination",28,271,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,259,"None","I",2
"E",513,"Butterfly","Pollination",28,129,"None","I",2
"E",513,"Butterfly","Pollination",28,227,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,511,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,511,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",28,202,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,232,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,469,"Pest control","I",2
"E",513,"Butterfly","Pollination",28,461,"None","I",2
"E",513,"Butterfly","Pollination",28,405,"None","I",2
"E",513,"Butterfly","Pollination",28,455,"None","I",2
"E",513,"Butterfly","Pollination",28,179,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,294,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,156,"None","I",2
"E",513,"Butterfly","Pollination",28,457,"Pest control","I",2
"E",513,"Butterfly","Pollination",28,512,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,512,"Butterfly watching","I",2
"E",513,"Butterfly","Pollination",28,126,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,183,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,112,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,145,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,494,"None","I",2
"E",513,"Butterfly","Pollination",28,332,"None","I",2
"E",513,"Butterfly","Pollination",28,164,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,207,"None","I",2
"E",513,"Butterfly","Pollination",28,185,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,110,"None","I",2
"E",513,"Butterfly","Pollination",28,326,"None","I",2
"E",513,"Butterfly","Pollination",28,235,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,245,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,102,"None","I",2
"E",513,"Butterfly","Pollination",28,225,"None","I",2
"E",513,"Butterfly","Pollination",28,295,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,186,"Pollination","I",2
"E",513,"Butterfly","Pollination",28,467,"None","I",2
"E",513,"Butterfly","Pollination",28,402,"None","I",2
"E",514,"Butterfly","Pollination",26,183,"Pollination","I",2
"E",514,"Butterfly","Pollination",26,318,"Pollination","I",2
"E",514,"Butterfly","Pollination",26,144,"Pollination","I",2
"E",514,"Butterfly","Pollination",26,232,"Pollination","I",2
"E",514,"Butterfly","Pollination",26,361,"None","I",2
"E",514,"Butterfly","Pollination",26,445,"Pest control","I",2
"E",514,"Butterfly","Pollination",26,438,"Pest control","I",2
"E",514,"Butterfly","Pollination",26,422,"Pest control","I",2
"E",514,"Butterfly","Pollination",26,467,"None","I",2
"E",514,"Butterfly","Pollination",26,470,"None","I",2
"E",514,"Butterfly","Pollination",26,421,"None","I",2
"E",514,"Butterfly","Pollination",26,437,"None","I",2
