"layer","services","node_id","taxon","node_int","node_to","services_to","type","hop"
"CP","Pollination",242,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",243,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",244,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",245,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",247,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",250,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",254,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",259,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",261,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",272,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",274,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",275,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",278,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",281,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",282,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",299,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",300,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",301,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",302,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",306,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",315,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",316,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",320,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",324,"Flower-visiting insect",NA,NA,"-","D",0
"CP","Pollination",511,"Butterfly",NA,NA,"-","D",0
"CP","Pollination",512,"Butterfly",NA,NA,"-","D",0
"CP","Pollination",514,"Butterfly",NA,NA,"-","D",0
"CP","Pollination",515,"Butterfly",NA,NA,"-","D",0
"CP","Pollination",517,"Butterfly",NA,NA,"-","D",0
"CP","Pollination",520,"Butterfly",NA,NA,"-","D",0
"CP","Pollination",521,"Butterfly",NA,NA,"-","D",0
"CP","Pollination",523,"Butterfly",NA,NA,"-","D",0
"GM","Pollination",95,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",106,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",118,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",125,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",133,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",138,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",145,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",146,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",157,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",158,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",161,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",167,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",173,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",187,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",189,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",192,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",204,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",206,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",209,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",222,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",225,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",227,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",232,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",235,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",241,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",242,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",243,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",249,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",250,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",253,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",254,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",262,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",272,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",279,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",293,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",301,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",316,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",321,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",333,"Flower-visiting insect",NA,NA,"-","D",0
"GM","Pollination",510,"Butterfly",NA,NA,"-","D",0
"GM","Pollination",511,"Butterfly",NA,NA,"-","D",0
"GM","Pollination",512,"Butterfly",NA,NA,"-","D",0
"GM","Pollination",513,"Butterfly",NA,NA,"-","D",0
"GM","Pollination",514,"Butterfly",NA,NA,"-","D",0
"GM","Pollination",515,"Butterfly",NA,NA,"-","D",0
"GM","Pollination",517,"Butterfly",NA,NA,"-","D",0
"GM","Pollination",518,"Butterfly",NA,NA,"-","D",0
"GM","Pollination",519,"Butterfly",NA,NA,"-","D",0
"GM","Pollination",520,"Butterfly",NA,NA,"-","D",0
"GM","Pollination",521,"Butterfly",NA,NA,"-","D",0
"GM","Pollination",522,"Butterfly",NA,NA,"-","D",0
"GM","Pollination",523,"Butterfly",NA,NA,"-","D",0
"GM","Pollination",524,"Butterfly",NA,NA,"-","D",0
"LP","Pollination",95,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",106,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",107,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",117,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",118,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",120,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",121,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",123,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",158,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",165,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",173,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",184,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",191,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",207,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",218,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",226,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",231,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",250,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",254,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",265,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",280,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",284,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",288,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",297,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",300,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",301,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",303,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",304,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",311,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",312,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",318,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",325,"Flower-visiting insect",NA,NA,"-","D",0
"LP","Pollination",511,"Butterfly",NA,NA,"-","D",0
"LP","Pollination",512,"Butterfly",NA,NA,"-","D",0
"LP","Pollination",513,"Butterfly",NA,NA,"-","D",0
"LP","Pollination",514,"Butterfly",NA,NA,"-","D",0
"LP","Pollination",515,"Butterfly",NA,NA,"-","D",0
"LP","Pollination",517,"Butterfly",NA,NA,"-","D",0
"LP","Pollination",520,"Butterfly",NA,NA,"-","D",0
"LP","Pollination",523,"Butterfly",NA,NA,"-","D",0
"LU","Pollination",106,"Flower-visiting insect",NA,NA,"-","D",0
"LU","Pollination",120,"Flower-visiting insect",NA,NA,"-","D",0
"LU","Pollination",190,"Flower-visiting insect",NA,NA,"-","D",0
"LU","Pollination",293,"Flower-visiting insect",NA,NA,"-","D",0
"LU","Pollination",512,"Butterfly",NA,NA,"-","D",0
"LU","Pollination",514,"Butterfly",NA,NA,"-","D",0
"LU","Pollination",517,"Butterfly",NA,NA,"-","D",0
"LU","Pollination",521,"Butterfly",NA,NA,"-","D",0
"LU","Pollination",522,"Butterfly",NA,NA,"-","D",0
"MH","Pollination",94,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",97,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",98,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",101,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",105,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",106,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",111,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",114,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",115,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",116,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",117,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",118,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",120,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",123,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",125,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",127,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",128,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",130,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",131,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",132,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",135,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",145,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",146,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",152,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",153,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",155,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",156,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",158,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",163,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",168,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",170,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",171,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",173,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",174,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",176,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",177,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",178,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",181,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",183,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",186,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",187,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",192,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",193,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",195,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",208,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",210,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",212,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",213,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",215,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",221,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",223,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",228,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",229,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",230,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",234,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",236,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",238,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",239,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",243,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",246,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",254,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",255,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",257,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",258,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",260,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",267,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",268,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",270,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",271,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",272,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",275,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",276,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",277,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",281,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",286,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",287,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",288,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",292,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",294,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",301,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",302,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",303,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",304,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",305,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",311,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",316,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",319,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",320,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",322,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",327,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",332,"Flower-visiting insect",NA,NA,"-","D",0
"MH","Pollination",509,"Butterfly",NA,NA,"-","D",0
"MH","Pollination",511,"Butterfly",NA,NA,"-","D",0
"MH","Pollination",512,"Butterfly",NA,NA,"-","D",0
"MH","Pollination",514,"Butterfly",NA,NA,"-","D",0
"MH","Pollination",515,"Butterfly",NA,NA,"-","D",0
"MH","Pollination",517,"Butterfly",NA,NA,"-","D",0
"MH","Pollination",518,"Butterfly",NA,NA,"-","D",0
"MH","Pollination",522,"Butterfly",NA,NA,"-","D",0
"MH","Pollination",523,"Butterfly",NA,NA,"-","D",0
"MH","Pollination",524,"Butterfly",NA,NA,"-","D",0
"NH","Pollination",99,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",106,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",116,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",117,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",118,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",122,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",123,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",129,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",132,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",135,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",138,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",144,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",146,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",150,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",158,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",163,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",166,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",172,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",173,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",179,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",180,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",181,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",182,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",184,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",192,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",196,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",200,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",214,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",219,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",220,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",221,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",222,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",227,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",230,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",232,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",233,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",239,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",240,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",242,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",243,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",250,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",251,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",253,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",263,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",272,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",279,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",281,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",285,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",289,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",291,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",292,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",301,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",309,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",314,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",315,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",316,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",320,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",323,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",329,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",331,"Flower-visiting insect",NA,NA,"-","D",0
"NH","Pollination",511,"Butterfly",NA,NA,"-","D",0
"NH","Pollination",515,"Butterfly",NA,NA,"-","D",0
"NH","Pollination",517,"Butterfly",NA,NA,"-","D",0
"NH","Pollination",519,"Butterfly",NA,NA,"-","D",0
"NL","Pollination",103,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",106,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",116,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",117,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",118,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",120,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",144,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",158,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",159,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",173,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",182,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",183,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",205,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",216,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",243,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",254,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",260,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",266,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",273,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",281,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",298,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",300,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",301,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",306,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",313,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",316,"Flower-visiting insect",NA,NA,"-","D",0
"NL","Pollination",320,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",108,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",117,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",118,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",119,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",123,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",132,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",144,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",148,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",152,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",158,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",165,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",173,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",189,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",194,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",195,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",202,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",203,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",204,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",211,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",218,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",224,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",232,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",243,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",247,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",253,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",254,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",272,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",279,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",290,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",291,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",295,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",296,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",301,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",302,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",306,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",311,"Flower-visiting insect",NA,NA,"-","D",0
"PP","Pollination",315,"Flower-visiting insect",NA,NA,"-","D",0
