"","layer","services","node_id","taxon","node_int","node_to","services_to","type","hop"
"78","CP","None",56,"Plant",NA,316,"Pollination","I",1
"79","CP","None",71,"Plant",NA,320,"Pollination","I",1
"80","CP","None",10,"Plant",NA,324,"Pollination","I",1
"81","CP","None",31,"Plant",NA,339,"Crop damage","I",1
"82","CP","None",36,"Plant",NA,341,"Crop damage","I",1
"83","CP","None",56,"Plant",NA,341,"Crop damage","I",1
"84","CP","None",26,"Plant",NA,342,"Crop damage","I",1
"85","CP","None",72,"Plant",NA,346,"Crop damage","I",1
"86","CP","None",73,"Plant",NA,346,"Crop damage","I",1
"87","CP","None",10,"Plant",NA,347,"Crop damage","I",1
"88","CP","Crop production",91,"Crop",NA,349,"Crop damage","I",1
"89","CP","None",17,"Plant",NA,352,"Crop damage","I",1
"90","CP","None",61,"Plant",NA,352,"Crop damage","I",1
"91","CP","None",41,"Plant",NA,355,"Crop damage","I",1
"92","CP","None",41,"Plant",NA,356,"Crop damage","I",1
"93","CP","Crop production",91,"Crop",NA,356,"Crop damage","I",1
"94","CP","Crop production",92,"Crop",NA,356,"Crop damage","I",1
"95","CP","Crop production",93,"Crop",NA,356,"Crop damage","I",1
"96","CP","None",24,"Plant",NA,359,"Crop damage","I",1
"97","CP","None",26,"Plant",NA,361,"Crop damage","I",1
"98","CP","None",41,"Plant",NA,363,"Pest control","I",1
"99","CP","Crop production",93,"Crop",NA,363,"Pest control","I",1
"100","CP","Crop damage",356,"Aphid",NA,363,"Pest control","I",1
"101","CP","None",56,"Plant",NA,365,"Pest control","I",1
"102","CP","Crop production",91,"Crop",NA,365,"Pest control","I",1
"103","CP","Crop damage",341,"Aphid",NA,365,"Pest control","I",1
"104","CP","Crop damage",356,"Aphid",NA,365,"Pest control","I",1
"105","CP","None",41,"Plant",NA,366,"Pest control","I",1
"106","CP","Crop production",91,"Crop",NA,366,"Pest control","I",1
"107","CP","Crop production",92,"Crop",NA,366,"Pest control","I",1
"108","CP","Crop production",93,"Crop",NA,366,"Pest control","I",1
"109","CP","Crop damage",356,"Aphid",NA,366,"Pest control","I",1
"110","CP","Crop production",91,"Crop",NA,367,"Pest control","I",1
"111","CP","Crop production",93,"Crop",NA,367,"Pest control","I",1
"112","CP","Crop damage",356,"Aphid",NA,367,"Pest control","I",1
"113","CP","None",41,"Plant",NA,368,"Pest control","I",1
"114","CP","Crop production",91,"Crop",NA,368,"Pest control","I",1
"115","CP","Crop production",92,"Crop",NA,368,"Pest control","I",1
"116","CP","Crop production",93,"Crop",NA,368,"Pest control","I",1
"117","CP","Crop damage",356,"Aphid",NA,368,"Pest control","I",1
"118","CP","None",24,"Plant",NA,370,"Pest control","I",1
"119","CP","Crop damage",359,"Aphid",NA,370,"Pest control","I",1
"120","CP","None",24,"Plant",NA,372,"Pest control","I",1
"121","CP","None",41,"Plant",NA,372,"Pest control","I",1
"122","CP","Crop production",92,"Crop",NA,372,"Pest control","I",1
"123","CP","Crop production",93,"Crop",NA,372,"Pest control","I",1
"124","CP","Crop damage",356,"Aphid",NA,372,"Pest control","I",1
"125","CP","Crop damage",359,"Aphid",NA,372,"Pest control","I",1
"126","CP","None",36,"Plant",NA,374,"Pest control","I",1
"127","CP","None",41,"Plant",NA,374,"Pest control","I",1
"128","CP","Crop production",91,"Crop",NA,374,"Pest control","I",1
"129","CP","Crop production",93,"Crop",NA,374,"Pest control","I",1
"130","CP","Crop damage",341,"Aphid",NA,374,"Pest control","I",1
"131","CP","Crop damage",356,"Aphid",NA,374,"Pest control","I",1
"132","CP","None",36,"Plant",NA,375,"Pest control","I",1
"133","CP","Crop production",91,"Crop",NA,375,"Pest control","I",1
"134","CP","Crop production",93,"Crop",NA,375,"Pest control","I",1
"135","CP","Crop damage",341,"Aphid",NA,375,"Pest control","I",1
"136","CP","Crop damage",356,"Aphid",NA,375,"Pest control","I",1
"137","CP","Crop production",93,"Crop",NA,376,"Pest control","I",1
"138","CP","Crop damage",356,"Aphid",NA,376,"Pest control","I",1
"139","CP","None",36,"Plant",NA,378,"Pest control","I",1
"140","CP","None",41,"Plant",NA,378,"Pest control","I",1
"141","CP","Crop damage",341,"Aphid",NA,378,"Pest control","I",1
"142","CP","Crop damage",356,"Aphid",NA,378,"Pest control","I",1
"143","CP","None",31,"Plant",NA,379,"Pest control","I",1
"144","CP","Crop production",93,"Crop",NA,379,"Pest control","I",1
"145","CP","Crop damage",339,"Aphid",NA,379,"Pest control","I",1
"146","CP","Crop damage",356,"Aphid",NA,379,"Pest control","I",1
"147","CP","None",24,"Plant",NA,387,"Pest control","I",1
"148","CP","None",26,"Plant",NA,387,"Pest control","I",1
"149","CP","None",24,"Plant",NA,388,"Pest control","I",1
"150","CP","None",24,"Plant",NA,392,"Pest control","I",1
"151","CP","None",24,"Plant",NA,395,"Pest control","I",1
"152","CP","None",24,"Plant",NA,399,"Pest control","I",1
"153","CP","None",15,"Plant",NA,408,"Pest control","I",1
"154","CP","None",80,"Plant",NA,408,"Pest control","I",1
"155","CP","Crop production",93,"Crop",NA,410,"Pest control","I",1
"156","CP","None",24,"Plant",NA,413,"Pest control","I",1
"157","CP","None",72,"Plant",NA,415,"Pest control","I",1
"158","CP","None",10,"Plant",NA,417,"Pest control","I",1
"159","CP","None",13,"Plant",NA,419,"Pest control","I",1
"160","CP","None",15,"Plant",NA,419,"Pest control","I",1
"161","CP","None",24,"Plant",NA,419,"Pest control","I",1
"162","CP","None",26,"Plant",NA,419,"Pest control","I",1
"163","CP","None",24,"Plant",NA,420,"Pest control","I",1
"164","CP","None",72,"Plant",NA,420,"Pest control","I",1
"165","CP","None",24,"Plant",NA,423,"Pest control","I",1
"166","CP","None",72,"Plant",NA,423,"Pest control","I",1
"167","CP","None",24,"Plant",NA,424,"Pest control","I",1
"168","CP","Crop production",88,"Crop",NA,427,"Pest control","I",1
"169","CP","None",13,"Plant",NA,428,"Pest control","I",1
"170","CP","None",26,"Plant",NA,431,"Pest control","I",1
"171","CP","None",41,"Plant",NA,431,"Pest control","I",1
"172","CP","None",59,"Plant",NA,433,"Pest control","I",1
"173","CP","None",24,"Plant",NA,435,"Pest control","I",1
"174","CP","None",24,"Plant",NA,436,"Pest control","I",1
"175","CP","None",59,"Plant",NA,436,"Pest control","I",1
"176","CP","Crop production",88,"Crop",NA,436,"Pest control","I",1
"177","CP","Crop production",90,"Crop",NA,436,"Pest control","I",1
"178","CP","None",26,"Plant",NA,437,"Pest control","I",1
"179","CP","None",10,"Plant",NA,438,"Pest control","I",1
"180","CP","None",24,"Plant",NA,439,"Pest control","I",1
"181","CP","None",10,"Plant",NA,443,"Pest control","I",1
"182","CP","None",24,"Plant",NA,443,"Pest control","I",1
"183","CP","None",26,"Plant",NA,443,"Pest control","I",1
"184","CP","None",59,"Plant",NA,443,"Pest control","I",1
"185","CP","None",72,"Plant",NA,443,"Pest control","I",1
"186","CP","Crop production",88,"Crop",NA,443,"Pest control","I",1
"187","CP","Crop production",90,"Crop",NA,443,"Pest control","I",1
"188","CP","Crop production",92,"Crop",NA,443,"Pest control","I",1
"189","CP","None",24,"Plant",NA,445,"Pest control","I",1
"190","CP","None",59,"Plant",NA,445,"Pest control","I",1
"191","CP","None",24,"Plant",NA,453,"Pest control","I",1
"192","CP","None",72,"Plant",NA,453,"Pest control","I",1
"193","CP","Crop production",88,"Crop",NA,455,"Pest control","I",1
"194","CP","None",72,"Plant",NA,456,"Pest control","I",1
"195","CP","None",59,"Plant",NA,461,"Pest control","I",1
"196","CP","None",24,"Plant",NA,463,"Pest control","I",1
"197","CP","None",15,"Plant",NA,465,"Pest control","I",1
"198","CP","None",24,"Plant",NA,465,"Pest control","I",1
"199","CP","None",41,"Plant",NA,465,"Pest control","I",1
"200","CP","None",72,"Plant",NA,465,"Pest control","I",1
"201","CP","None",10,"Plant",NA,467,"Pest control","I",1
"202","CP","None",17,"Plant",NA,467,"Pest control","I",1
"203","CP","None",24,"Plant",NA,467,"Pest control","I",1
"204","CP","None",24,"Plant",NA,468,"Pest control","I",1
"205","CP","None",26,"Plant",NA,468,"Pest control","I",1
"206","CP","None",72,"Plant",NA,468,"Pest control","I",1
"207","CP","Crop production",92,"Crop",NA,468,"Pest control","I",1
"208","CP","None",72,"Plant",NA,469,"Pest control","I",1
"209","CP","None",13,"Plant",NA,480,"Crop damage","I",1
"210","CP","None",18,"Plant",NA,493,"Crop damage","I",1
"211","CP","None",18,"Plant",NA,493,"Seed dispersal","I",1
"212","CP","None",18,"Plant",NA,493,"Bird watching","I",1
"213","CP","None",24,"Plant",NA,493,"Crop damage","I",1
"214","CP","None",24,"Plant",NA,493,"Seed dispersal","I",1
"215","CP","None",24,"Plant",NA,493,"Bird watching","I",1
"216","CP","None",31,"Plant",NA,493,"Crop damage","I",1
"217","CP","None",31,"Plant",NA,493,"Seed dispersal","I",1
"218","CP","None",31,"Plant",NA,493,"Bird watching","I",1
"219","CP","None",41,"Plant",NA,493,"Crop damage","I",1
"220","CP","None",41,"Plant",NA,493,"Seed dispersal","I",1
"221","CP","None",41,"Plant",NA,493,"Bird watching","I",1
"222","CP","None",57,"Plant",NA,493,"Crop damage","I",1
"223","CP","None",57,"Plant",NA,493,"Seed dispersal","I",1
"224","CP","None",57,"Plant",NA,493,"Bird watching","I",1
"225","CP","None",80,"Plant",NA,493,"Crop damage","I",1
"226","CP","None",80,"Plant",NA,493,"Seed dispersal","I",1
"227","CP","None",80,"Plant",NA,493,"Bird watching","I",1
"228","CP","Crop production",93,"Crop",NA,493,"Crop damage","I",1
"229","CP","Crop production",93,"Crop",NA,493,"Seed dispersal","I",1
"230","CP","Crop production",93,"Crop",NA,493,"Bird watching","I",1
"231","CP","None",13,"Plant",NA,494,"Crop damage","I",1
"232","CP","None",13,"Plant",NA,494,"Seed dispersal","I",1
"233","CP","None",13,"Plant",NA,494,"Bird watching","I",1
"234","CP","None",17,"Plant",NA,494,"Crop damage","I",1
"235","CP","None",17,"Plant",NA,494,"Seed dispersal","I",1
"236","CP","None",17,"Plant",NA,494,"Bird watching","I",1
"237","CP","None",22,"Plant",NA,494,"Crop damage","I",1
"238","CP","None",22,"Plant",NA,494,"Seed dispersal","I",1
"239","CP","None",22,"Plant",NA,494,"Bird watching","I",1
"240","CP","None",26,"Plant",NA,494,"Crop damage","I",1
"241","CP","None",26,"Plant",NA,494,"Seed dispersal","I",1
"242","CP","None",26,"Plant",NA,494,"Bird watching","I",1
"243","CP","None",31,"Plant",NA,494,"Crop damage","I",1
"244","CP","None",31,"Plant",NA,494,"Seed dispersal","I",1
"245","CP","None",31,"Plant",NA,494,"Bird watching","I",1
"246","CP","None",41,"Plant",NA,494,"Crop damage","I",1
"247","CP","None",41,"Plant",NA,494,"Seed dispersal","I",1
"248","CP","None",41,"Plant",NA,494,"Bird watching","I",1
"249","CP","None",43,"Plant",NA,494,"Crop damage","I",1
"250","CP","None",43,"Plant",NA,494,"Seed dispersal","I",1
"251","CP","None",43,"Plant",NA,494,"Bird watching","I",1
"252","CP","None",56,"Plant",NA,494,"Crop damage","I",1
"253","CP","None",56,"Plant",NA,494,"Seed dispersal","I",1
"254","CP","None",56,"Plant",NA,494,"Bird watching","I",1
"255","CP","None",59,"Plant",NA,494,"Crop damage","I",1
"256","CP","None",59,"Plant",NA,494,"Seed dispersal","I",1
"257","CP","None",59,"Plant",NA,494,"Bird watching","I",1
"258","CP","None",72,"Plant",NA,494,"Crop damage","I",1
"259","CP","None",72,"Plant",NA,494,"Seed dispersal","I",1
"260","CP","None",72,"Plant",NA,494,"Bird watching","I",1
"261","CP","None",73,"Plant",NA,494,"Crop damage","I",1
"262","CP","None",73,"Plant",NA,494,"Seed dispersal","I",1
"263","CP","None",73,"Plant",NA,494,"Bird watching","I",1
"264","CP","None",85,"Plant",NA,494,"Crop damage","I",1
"265","CP","None",85,"Plant",NA,494,"Seed dispersal","I",1
"266","CP","None",85,"Plant",NA,494,"Bird watching","I",1
"267","CP","Crop production",93,"Crop",NA,494,"Crop damage","I",1
"268","CP","Crop production",93,"Crop",NA,494,"Seed dispersal","I",1
"269","CP","Crop production",93,"Crop",NA,494,"Bird watching","I",1
"270","CP","None",10,"Plant",NA,495,"Crop damage","I",1
"271","CP","None",10,"Plant",NA,495,"Seed dispersal","I",1
"272","CP","None",10,"Plant",NA,495,"Bird watching","I",1
"273","CP","None",13,"Plant",NA,495,"Crop damage","I",1
"274","CP","None",13,"Plant",NA,495,"Seed dispersal","I",1
"275","CP","None",13,"Plant",NA,495,"Bird watching","I",1
"276","CP","None",15,"Plant",NA,495,"Crop damage","I",1
"277","CP","None",15,"Plant",NA,495,"Seed dispersal","I",1
"278","CP","None",15,"Plant",NA,495,"Bird watching","I",1
"279","CP","None",17,"Plant",NA,495,"Crop damage","I",1
"280","CP","None",17,"Plant",NA,495,"Seed dispersal","I",1
"281","CP","None",17,"Plant",NA,495,"Bird watching","I",1
"282","CP","None",18,"Plant",NA,495,"Crop damage","I",1
"283","CP","None",18,"Plant",NA,495,"Seed dispersal","I",1
"284","CP","None",18,"Plant",NA,495,"Bird watching","I",1
"285","CP","None",24,"Plant",NA,495,"Crop damage","I",1
"286","CP","None",24,"Plant",NA,495,"Seed dispersal","I",1
"287","CP","None",24,"Plant",NA,495,"Bird watching","I",1
"288","CP","None",26,"Plant",NA,495,"Crop damage","I",1
"289","CP","None",26,"Plant",NA,495,"Seed dispersal","I",1
"290","CP","None",26,"Plant",NA,495,"Bird watching","I",1
"291","CP","None",31,"Plant",NA,495,"Crop damage","I",1
"292","CP","None",31,"Plant",NA,495,"Seed dispersal","I",1
"293","CP","None",31,"Plant",NA,495,"Bird watching","I",1
"294","CP","None",36,"Plant",NA,495,"Crop damage","I",1
"295","CP","None",36,"Plant",NA,495,"Seed dispersal","I",1
"296","CP","None",36,"Plant",NA,495,"Bird watching","I",1
"297","CP","None",41,"Plant",NA,495,"Crop damage","I",1
"298","CP","None",41,"Plant",NA,495,"Seed dispersal","I",1
"299","CP","None",41,"Plant",NA,495,"Bird watching","I",1
"300","CP","None",56,"Plant",NA,495,"Crop damage","I",1
"301","CP","None",56,"Plant",NA,495,"Seed dispersal","I",1
"302","CP","None",56,"Plant",NA,495,"Bird watching","I",1
"303","CP","None",57,"Plant",NA,495,"Crop damage","I",1
"304","CP","None",57,"Plant",NA,495,"Seed dispersal","I",1
"305","CP","None",57,"Plant",NA,495,"Bird watching","I",1
"306","CP","None",59,"Plant",NA,495,"Crop damage","I",1
"307","CP","None",59,"Plant",NA,495,"Seed dispersal","I",1
"308","CP","None",59,"Plant",NA,495,"Bird watching","I",1
"309","CP","None",71,"Plant",NA,495,"Crop damage","I",1
"310","CP","None",71,"Plant",NA,495,"Seed dispersal","I",1
"311","CP","None",71,"Plant",NA,495,"Bird watching","I",1
"312","CP","None",72,"Plant",NA,495,"Crop damage","I",1
"313","CP","None",72,"Plant",NA,495,"Seed dispersal","I",1
"314","CP","None",72,"Plant",NA,495,"Bird watching","I",1
"315","CP","None",73,"Plant",NA,495,"Crop damage","I",1
"316","CP","None",73,"Plant",NA,495,"Seed dispersal","I",1
"317","CP","None",73,"Plant",NA,495,"Bird watching","I",1
"318","CP","None",80,"Plant",NA,495,"Crop damage","I",1
"319","CP","None",80,"Plant",NA,495,"Seed dispersal","I",1
"320","CP","None",80,"Plant",NA,495,"Bird watching","I",1
"321","CP","None",85,"Plant",NA,495,"Crop damage","I",1
"322","CP","None",85,"Plant",NA,495,"Seed dispersal","I",1
"323","CP","None",85,"Plant",NA,495,"Bird watching","I",1
"324","CP","Crop production",93,"Crop",NA,495,"Crop damage","I",1
"325","CP","Crop production",93,"Crop",NA,495,"Seed dispersal","I",1
"326","CP","Crop production",93,"Crop",NA,495,"Bird watching","I",1
"327","CP","None",13,"Plant",NA,496,"Crop damage","I",1
"328","CP","None",13,"Plant",NA,496,"Seed dispersal","I",1
"329","CP","None",13,"Plant",NA,496,"Bird watching","I",1
"330","CP","None",17,"Plant",NA,496,"Crop damage","I",1
"331","CP","None",17,"Plant",NA,496,"Seed dispersal","I",1
"332","CP","None",17,"Plant",NA,496,"Bird watching","I",1
"333","CP","None",18,"Plant",NA,496,"Crop damage","I",1
"334","CP","None",18,"Plant",NA,496,"Seed dispersal","I",1
"335","CP","None",18,"Plant",NA,496,"Bird watching","I",1
"336","CP","None",24,"Plant",NA,496,"Crop damage","I",1
"337","CP","None",24,"Plant",NA,496,"Seed dispersal","I",1
"338","CP","None",24,"Plant",NA,496,"Bird watching","I",1
"339","CP","None",26,"Plant",NA,496,"Crop damage","I",1
"340","CP","None",26,"Plant",NA,496,"Seed dispersal","I",1
"341","CP","None",26,"Plant",NA,496,"Bird watching","I",1
"342","CP","None",31,"Plant",NA,496,"Crop damage","I",1
"343","CP","None",31,"Plant",NA,496,"Seed dispersal","I",1
"344","CP","None",31,"Plant",NA,496,"Bird watching","I",1
"345","CP","None",36,"Plant",NA,496,"Crop damage","I",1
"346","CP","None",36,"Plant",NA,496,"Seed dispersal","I",1
"347","CP","None",36,"Plant",NA,496,"Bird watching","I",1
"348","CP","None",41,"Plant",NA,496,"Crop damage","I",1
"349","CP","None",41,"Plant",NA,496,"Seed dispersal","I",1
"350","CP","None",41,"Plant",NA,496,"Bird watching","I",1
"351","CP","None",56,"Plant",NA,496,"Crop damage","I",1
"352","CP","None",56,"Plant",NA,496,"Seed dispersal","I",1
"353","CP","None",56,"Plant",NA,496,"Bird watching","I",1
"354","CP","None",57,"Plant",NA,496,"Crop damage","I",1
"355","CP","None",57,"Plant",NA,496,"Seed dispersal","I",1
"356","CP","None",57,"Plant",NA,496,"Bird watching","I",1
"357","CP","None",59,"Plant",NA,496,"Crop damage","I",1
"358","CP","None",59,"Plant",NA,496,"Seed dispersal","I",1
"359","CP","None",59,"Plant",NA,496,"Bird watching","I",1
"360","CP","None",72,"Plant",NA,496,"Crop damage","I",1
"361","CP","None",72,"Plant",NA,496,"Seed dispersal","I",1
"362","CP","None",72,"Plant",NA,496,"Bird watching","I",1
"363","CP","None",73,"Plant",NA,496,"Crop damage","I",1
"364","CP","None",73,"Plant",NA,496,"Seed dispersal","I",1
"365","CP","None",73,"Plant",NA,496,"Bird watching","I",1
"366","CP","None",85,"Plant",NA,496,"Crop damage","I",1
"367","CP","None",85,"Plant",NA,496,"Seed dispersal","I",1
"368","CP","None",85,"Plant",NA,496,"Bird watching","I",1
"369","CP","Crop production",93,"Crop",NA,496,"Crop damage","I",1
"370","CP","Crop production",93,"Crop",NA,496,"Seed dispersal","I",1
"371","CP","Crop production",93,"Crop",NA,496,"Bird watching","I",1
"372","CP","None",10,"Plant",NA,497,"Crop damage","I",1
"373","CP","None",10,"Plant",NA,497,"Seed dispersal","I",1
"374","CP","None",10,"Plant",NA,497,"Bird watching","I",1
"375","CP","None",13,"Plant",NA,497,"Crop damage","I",1
"376","CP","None",13,"Plant",NA,497,"Seed dispersal","I",1
"377","CP","None",13,"Plant",NA,497,"Bird watching","I",1
"378","CP","None",17,"Plant",NA,497,"Crop damage","I",1
"379","CP","None",17,"Plant",NA,497,"Seed dispersal","I",1
"380","CP","None",17,"Plant",NA,497,"Bird watching","I",1
"381","CP","None",24,"Plant",NA,497,"Crop damage","I",1
"382","CP","None",24,"Plant",NA,497,"Seed dispersal","I",1
"383","CP","None",24,"Plant",NA,497,"Bird watching","I",1
"384","CP","None",26,"Plant",NA,497,"Crop damage","I",1
"385","CP","None",26,"Plant",NA,497,"Seed dispersal","I",1
"386","CP","None",26,"Plant",NA,497,"Bird watching","I",1
"387","CP","None",31,"Plant",NA,497,"Crop damage","I",1
"388","CP","None",31,"Plant",NA,497,"Seed dispersal","I",1
"389","CP","None",31,"Plant",NA,497,"Bird watching","I",1
"390","CP","None",41,"Plant",NA,497,"Crop damage","I",1
"391","CP","None",41,"Plant",NA,497,"Seed dispersal","I",1
"392","CP","None",41,"Plant",NA,497,"Bird watching","I",1
"393","CP","None",43,"Plant",NA,497,"Crop damage","I",1
"394","CP","None",43,"Plant",NA,497,"Seed dispersal","I",1
"395","CP","None",43,"Plant",NA,497,"Bird watching","I",1
"396","CP","None",56,"Plant",NA,497,"Crop damage","I",1
"397","CP","None",56,"Plant",NA,497,"Seed dispersal","I",1
"398","CP","None",56,"Plant",NA,497,"Bird watching","I",1
"399","CP","None",57,"Plant",NA,497,"Crop damage","I",1
"400","CP","None",57,"Plant",NA,497,"Seed dispersal","I",1
"401","CP","None",57,"Plant",NA,497,"Bird watching","I",1
"402","CP","None",59,"Plant",NA,497,"Crop damage","I",1
"403","CP","None",59,"Plant",NA,497,"Seed dispersal","I",1
"404","CP","None",59,"Plant",NA,497,"Bird watching","I",1
"405","CP","None",71,"Plant",NA,497,"Crop damage","I",1
"406","CP","None",71,"Plant",NA,497,"Seed dispersal","I",1
"407","CP","None",71,"Plant",NA,497,"Bird watching","I",1
"408","CP","None",72,"Plant",NA,497,"Crop damage","I",1
"409","CP","None",72,"Plant",NA,497,"Seed dispersal","I",1
"410","CP","None",72,"Plant",NA,497,"Bird watching","I",1
"411","CP","None",73,"Plant",NA,497,"Crop damage","I",1
"412","CP","None",73,"Plant",NA,497,"Seed dispersal","I",1
"413","CP","None",73,"Plant",NA,497,"Bird watching","I",1
"414","CP","None",85,"Plant",NA,497,"Crop damage","I",1
"415","CP","None",85,"Plant",NA,497,"Seed dispersal","I",1
"416","CP","None",85,"Plant",NA,497,"Bird watching","I",1
"417","CP","Crop production",93,"Crop",NA,497,"Crop damage","I",1
"418","CP","Crop production",93,"Crop",NA,497,"Seed dispersal","I",1
"419","CP","Crop production",93,"Crop",NA,497,"Bird watching","I",1
"420","CP","None",10,"Plant",NA,498,"Crop damage","I",1
"421","CP","None",10,"Plant",NA,498,"Seed dispersal","I",1
"422","CP","None",10,"Plant",NA,498,"Bird watching","I",1
"423","CP","None",13,"Plant",NA,498,"Crop damage","I",1
"424","CP","None",13,"Plant",NA,498,"Seed dispersal","I",1
"425","CP","None",13,"Plant",NA,498,"Bird watching","I",1
"426","CP","None",15,"Plant",NA,498,"Crop damage","I",1
"427","CP","None",15,"Plant",NA,498,"Seed dispersal","I",1
"428","CP","None",15,"Plant",NA,498,"Bird watching","I",1
"429","CP","None",17,"Plant",NA,498,"Crop damage","I",1
"430","CP","None",17,"Plant",NA,498,"Seed dispersal","I",1
"431","CP","None",17,"Plant",NA,498,"Bird watching","I",1
"432","CP","None",24,"Plant",NA,498,"Crop damage","I",1
"433","CP","None",24,"Plant",NA,498,"Seed dispersal","I",1
"434","CP","None",24,"Plant",NA,498,"Bird watching","I",1
"435","CP","None",31,"Plant",NA,498,"Crop damage","I",1
"436","CP","None",31,"Plant",NA,498,"Seed dispersal","I",1
"437","CP","None",31,"Plant",NA,498,"Bird watching","I",1
"438","CP","None",41,"Plant",NA,498,"Crop damage","I",1
"439","CP","None",41,"Plant",NA,498,"Seed dispersal","I",1
"440","CP","None",41,"Plant",NA,498,"Bird watching","I",1
"441","CP","None",43,"Plant",NA,498,"Crop damage","I",1
"442","CP","None",43,"Plant",NA,498,"Seed dispersal","I",1
"443","CP","None",43,"Plant",NA,498,"Bird watching","I",1
