"node_from","node_to","weight","management"
64,438,0.000595373514570927,"E"
64,447,0.00014645203450459,"E"
17,410,3.99093442951574e-06,"E"
17,421,5.73974893945708e-06,"E"
77,467,8.76117570170669e-05,"E"
28,445,0.0332239626618111,"E"
26,455,0.00285093286767552,"E"
11,469,0.000161806281209187,"E"
94,445,0.00388811714032669,"E"
77,458,5.51249511174124e-06,"E"
11,440,3.50628098168026e-05,"E"
11,419,8.76570245420065e-06,"E"
94,429,1.69389240537819e-05,"E"
11,445,0.00308243889794649,"E"
94,457,0.000409297009463948,"E"
94,438,0.00100531174285592,"E"
44,433,0.00137953696891416,"E"
26,441,0.00181053322599672,"E"
28,389,0.000531684824284511,"E"
26,397,0.000637717921958233,"E"
26,465,0.00111469563378984,"E"
14,430,0.00030830408934175,"E"
77,455,6.14184519084033e-05,"E"
96,445,0.00518415618710226,"E"
17,467,1.24116655774178e-05,"E"
96,438,0.00134041565714122,"E"
95,469,0.00634973736847367,"E"
95,445,0.120963644365719,"E"
95,422,0.00471427579374476,"E"
95,438,0.0312763653332952,"E"
44,438,0.00433126637800418,"E"
44,425,0.00117837061337984,"E"
26,401,0.00284690477171769,"E"
26,469,0.00472329416972334,"E"
26,389,0.00143994839787662,"E"
26,394,0.000420712244484176,"E"
26,390,0.000953635733507825,"E"
28,433,0.00273609576441781,"E"
26,425,0.00632954538643025,"E"
26,426,0.00547526935321549,"E"
14,482,0.0056603404897991,"E"
14,483,0.00807665452099113,"E"
14,486,0.0286022536736585,"E"
482,534,0.0342954042508446,"E"
483,534,0.0489355953570266,"E"
486,534,0.173298029330765,"E"
482,540,0.00355388298209389,"E"
483,540,0.00507098205596123,"E"
486,540,0.0179581180255033,"E"
4,508,0.00028091413154875,"E"
5,508,0.00327733153473542,"E"
7,508,0.0317603219638906,"E"
11,508,0.00893392063819435,"E"
12,508,0.00151949007519551,"E"
14,508,0.0658658512987411,"E"
30,508,0.000536290614774887,"E"
33,508,0.00557146360905022,"E"
36,508,0.00065972258166752,"E"
39,508,6.38441208065342e-05,"E"
44,508,0.048551325736009,"E"
47,508,0.00055331571365663,"E"
49,508,0.00319220604032671,"E"
57,508,0.00183019812978731,"E"
59,508,0.000489471592850096,"E"
67,508,0.00132795771277591,"E"
72,508,0.00137903300942114,"E"
80,508,0.00333691938082152,"E"
82,508,0.000268145307387444,"E"
99,508,0.197834273298546,"E"
11,326,2.67252719472033e-05,"E"
77,259,0.000864052060305524,"E"
78,308,7.7500451782604e-05,"E"
11,179,0.00129178845807961,"E"
11,164,0.000863983165030015,"E"
11,141,2.76630007874561e-05,"E"
47,179,8.00059550025484e-05,"E"
61,179,0.00596536709107463,"E"
47,193,2.12397847979388e-06,"E"
76,179,3.69258253857916e-05,"E"
26,166,0.000731257709146786,"E"
26,228,0.000836840373034289,"E"
26,179,0.0377086528839703,"E"
38,179,0.000812368158487414,"E"
26,198,0.00107928945307226,"E"
61,128,0.000121559124068875,"E"
61,264,0.000238478586913748,"E"
61,244,0.000614909767554514,"E"
61,303,0.00440922471654406,"E"
61,164,0.0039897993418942,"E"
20,164,0.000148181962558745,"E"
61,247,0.000239406519158548,"E"
61,196,0.000534179662256864,"E"
28,131,0.000559510052183203,"E"
61,259,0.00634489137919806,"E"
28,244,0.00143523352740672,"E"
11,259,0.00137397369286462,"E"
61,138,0.000866998027392003,"E"
62,259,4.58209425919596e-05,"E"
61,248,0.000633777723198792,"E"
47,138,1.16279524977778e-05,"E"
26,237,0.00972924695378183,"E"
61,286,0.000122177745565409,"E"
61,209,0.000465203365393355,"E"
61,285,0.000274358633712703,"E"
26,164,0.0252205700274984,"E"
24,181,1.55469097859913e-07,"E"
61,249,0.000447881963490411,"E"
61,302,0.000581504206741693,"E"
61,252,0.000344262862821013,"E"
61,250,0.000107640140396867,"E"
61,173,0.000440149194783739,"E"
61,132,0.000429632629342666,"E"
95,196,0.00453943666582301,"E"
17,223,2.14823063791653e-06,"E"
11,249,9.69879543347129e-05,"E"
11,255,9.85285088579852e-05,"E"
26,142,0.000703884425916692,"E"
11,143,2.4113027320785e-05,"E"
11,138,0.00018774670994489,"E"
11,222,4.60156938038313e-05,"E"
11,158,7.01287211246163e-05,"E"
11,170,2.4113027320785e-05,"E"
11,266,2.4113027320785e-05,"E"
11,140,6.02825683019624e-05,"E"
11,304,0.000180043937328528,"E"
11,303,0.000954808901271638,"E"
61,301,0.000103000479172864,"E"
32,519,0.000109814503161839,"E"
32,524,2.82584552110269e-05,"E"
95,514,0.0166468629288263,"E"
91,516,2.7513638122733e-05,"E"
95,516,0.0139896172030981,"E"
61,517,0.0433078753903743,"E"
14,523,0.0016004316485438,"E"
95,523,0.00851881717954021,"E"
14,513,0.00873630120076659,"E"
28,513,0.0127722183112209,"E"
26,514,0.0123828791732861,"E"
28,514,0.0045722394962858,"E"
28,516,0.00384239844993032,"E"
26,517,0.273760460220676,"E"
28,517,0.101082984920234,"E"
28,519,0.00659003533032742,"E"
28,523,0.00233978453096316,"E"
61,523,0.00100245453759839,"E"
11,525,0.000746833312895932,"E"
14,525,0.0055060721853571,"E"
26,525,0.0218008436149402,"E"
28,525,0.00804971742303838,"E"
26,522,0.00412762639109535,"E"
4,495,8.29307735367902e-06,"E"
4,496,5.16589610156255e-05,"E"
