"habitat","lower","upper"
"GM","01PLANT.Creeping Buttercup","02FV.Hydrellia maura"
"GM","01PLANT.Creeping Buttercup","02FV.Tytthaspis sedecimpunctata"
"GM","01PLANT.Creeping Buttercup","02FV.Fannia sp"
"GM","01PLANT.Creeping Buttercup","02FV.Pegoplata aestiva or Adia cinerella"
"GM","01PLANT.Creeping Buttercup","02FV.Dolichopus festivus"
"LP","01PLANT.Creeping Buttercup","02FV.Psallinae sp"
"LP","01PLANT.Creeping Buttercup","02FV.Phytomyza notata"
"LP","01PLANT.Creeping Buttercup","02FV.Scathophaga stercoraria"
"LP","01PLANT.Creeping Buttercup","02FV.Pegoplata aestiva or Adia cinerella"
"LP","01PLANT.Spear Thistle","02FV.Oscinella frit"
"LP","01PLANT.Spear Thistle","02FV.Bombus lapidarius"
"LP","01PLANT.Clover sp","02FV.Bombus pascuorum"
"LP","01PLANT.Creeping Buttercup","02FV.Sepsis cynipsea or neocynipsea"
"LP","01PLANT.Clover sp","02FV.Metasyrphus luniger"
"LP","01PLANT.Creeping Buttercup","02FV.Sciaridae sp"
"LP","01PLANT.Creeping Buttercup","02FV.Geomyza tripunctata"
"LP","01PLANT.Clover sp","02FV.Bombus lapidarius"
"LP","01PLANT.Creeping Buttercup","02FV.Delia sp"
"LP","01PLANT.Creeping Buttercup","02FV.Lotophila atra"
"LP","01PLANT.Clover sp","02FV.Apis mellifera"
"LP","01PLANT.Clover sp","02FV.Bombus terrestris"
"LP","01PLANT.Creeping Buttercup","02FV.Botanophila striolata"
"LP","01PLANT.Creeping Buttercup","02FV.Alysiinae sp"
"LP","01PLANT.Creeping Buttercup","02FV.Saltella sphondylii"
"LP","01PLANT.Creeping Buttercup","02FV.Pteromalidae"
"LP","01PLANT.Common Mouse-ear","02FV.Tetrastichinae sp"
"LP","01PLANT.Clover sp","02FV.Aprostocetus sp"
"LP","01PLANT.Clover sp","02FV.Alysiinae sp"
"LP","01PLANT.Creeping Buttercup","02FV.Diplonevra sp"
"LP","01PLANT.Clover sp","02FV.Scathophaga stercoraria"
"LP","01PLANT.Clover sp","02FV.Eupeodes corollae"
"LP","01PLANT.Creeping Buttercup","02FV.Hylemya urbica/variata"
"LP","01PLANT.Clover sp","02FV.Bombus vestalis"
"MH","01PLANT.Hogweed","02FV.Scathophaga stercoraria"
"MH","01PLANT.Cow Parsley","02FV.Chlorops hypostigma"
"MH","01PLANT.Cow Parsley","02FV.Scathophaga stercoraria"
"MH","01PLANT.Cow Parsley","02FV.Psychodidae sp"
"MH","01PLANT.Cow Parsley","02FV.Fannia serena"
"MH","01PLANT.Cow Parsley","02FV.Scatopsidae sp"
"MH","01PLANT.Hogweed","02FV.Calliphora vicina"
"MH","01PLANT.Hogweed","02FV.Melinda viridicyanea"
"MH","01PLANT.Hogweed","02FV.Chlorops pumilionis"
"MH","01PLANT.Hogweed","02FV.Fannia sp"
"MH","01PLANT.Hogweed","02FV.Limnophora triangula"
"MH","01PLANT.Hogweed","02FV.Chlorops hypostigma"
"MH","01PLANT.Hogweed","02FV.Eudasyphora cyanella"
"MH","01PLANT.Cow Parsley","02FV.Miscogaster maculata"
"MH","01PLANT.Cow Parsley","02FV.Tenthredopsis nassata"
"MH","01PLANT.Cow Parsley","02FV.Platycheirus nielseni"
"MH","01PLANT.Hogweed","02FV.Neomyia cornicina"
"MH","01PLANT.Cow Parsley","02FV.Agriotes pallidulus"
"MH","01PLANT.Cow Parsley","02FV.Empis (Xanthempis) sp"
"MH","01PLANT.Hogweed","02FV.Platycheirus scutatus"
"MH","01PLANT.Cow Parsley","02FV.Fannia sp"
"MH","01PLANT.Cow Parsley","02FV.Anthocomus fasciatus"
"MH","01PLANT.Cow Parsley","02FV.Delia sp"
"MH","01PLANT.Cow Parsley","02FV.Helina sp"
"MH","01PLANT.Cow Parsley","02FV.Botanophila striolata"
"MH","01PLANT.Cow Parsley","02FV.Platycheirus albimanus"
"MH","01PLANT.Cow Parsley","02FV.Microphor anomalus"
"MH","01PLANT.Cow Parsley","02FV.Pteromalidae"
"MH","01PLANT.Hogweed","02FV.Azelia zetterstedtii"
"MH","01PLANT.Cow Parsley","02FV.Empis livida"
"MH","01PLANT.Cleavers","02FV.Sciaridae sp"
"MH","01PLANT.Bramble","02FV.Empis livida"
"MH","01PLANT.Clover sp","02FV.Platycheirus albimanus"
"MH","01PLANT.Creeping Thistle","02FV.Kuzinia sp"
"MH","01PLANT.Creeping Thistle","02FV.Sphaerophoria sp"
"MH","01PLANT.Creeping Thistle","02FV.Platycheirus nielseni"
"MH","01PLANT.Creeping Thistle","02FV.Pegoplata depilis"
"MH","01PLANT.Creeping Thistle","02FV.Scathophaga stercoraria"
"MH","01PLANT.Corn Mint","02FV.Scathophaga stercoraria"
"MH","01PLANT.Creeping Thistle","02FV.Lasioglossum sp"
"MH","01PLANT.Bramble","02FV.Platycheirus peltatus"
"MH","01PLANT.Creeping Thistle","02FV.Bombus pascuorum"
"MH","01PLANT.Bramble","02FV.Bombus pascuorum"
"MH","01PLANT.Creeping Thistle","02FV.Siphona geniculata"
"MH","01PLANT.Bramble","02FV.Episyrphus balteatus"
"MH","01PLANT.Rose sp","02FV.Pegoplata aestiva or Adia cinerella"
"MH","01PLANT.Herb Robert","02FV.Platycheirus albimanus"
"MH","01PLANT.Nipplewort","02FV.Pegoplata aestiva or Adia cinerella"
"MH","01PLANT.Red Campion","02FV.Empis livida"
"MH","01PLANT.Cow Parsley","02FV.Bicellaria vana"
"MH","01PLANT.Cow Parsley","02FV.Hylemya vagans"
"MH","01PLANT.Hawthorn","02FV.Glyphipterix simpliciella"
"MH","01PLANT.Cow Parsley","02FV.Anaspis maculata"
"MH","01PLANT.Red Campion","02FV.Ophiomyia sp"
"MH","01PLANT.Red Campion","02FV.Bicellaria varia"
"MH","01PLANT.Red Campion","02FV.Bicellaria vana"
"MH","01PLANT.Red Campion","02FV.Pipiza noctiluca"
"MH","01PLANT.Red Campion","02FV.Melanostoma scalare"
"MH","01PLANT.Red Campion","02FV.Platycheirus albimanus"
"MH","01PLANT.Hogweed","02FV.Grammoptera ruficornis"
"MH","01PLANT.Hogweed","02FV.Anaspis maculata"
"MH","01PLANT.Hogweed","02FV.Cantharis nigra"
"MH","01PLANT.Hogweed","02FV.Empis livida"
"MH","01PLANT.Red Campion","02FV.Bracon sp"
"MH","01PLANT.Hogweed","02FV.Anthophila fabriciana"
"MH","01PLANT.Creeping Buttercup","02FV.Empis livida"
"MH","01PLANT.Cow Parsley","02FV.Phasia pusilla"
"MH","01PLANT.Creeping Buttercup","02FV.Agriotes pallidulus"
"MH","01PLANT.Cow Parsley","02FV.Psyllidae sp"
"MH","01PLANT.Bramble","02FV.Platycheirus albimanus"
"MH","01PLANT.Creeping Thistle","02FV.Dilophus febrilis"
"MH","01PLANT.Creeping Thistle","02FV.Theroscopus sp"
"MH","01PLANT.Bramble","02FV.Apis mellifera"
"MH","01PLANT.Bramble","02FV.Bombus terrestris"
"MH","01PLANT.Bramble","02FV.Rhagonycha fulva"
"MH","01PLANT.Bramble","02FV.Pollenia pediculata"
"MH","01PLANT.Bramble","02FV.Sepsis cynipsea or neocynipsea"
"MH","01PLANT.Creeping Thistle","02FV.Rhinophora lepida"
"MH","01PLANT.Creeping Thistle","02FV.Bombus lapidarius"
"MH","01PLANT.Bramble","02FV.Pegoplata aestiva or Adia cinerella"
"MH","01PLANT.Creeping Thistle","02FV.Pierretia sp"
"MH","01PLANT.Bramble","02FV.Eristalis pertinax"
"MH","01PLANT.Creeping Thistle","02FV.Pegoplata aestiva or Adia cinerella"
"MH","01PLANT.Creeping Buttercup","02FV.Glyphipterix simpliciella"
"MH","01PLANT.Creeping Buttercup","02FV.Platycheirus albimanus"
"MH","01PLANT.Hawthorn","02FV.Cantharis decipiens"
"MH","01PLANT.Creeping Buttercup","02FV.Melanostoma sp"
"MH","01PLANT.Hawthorn","02FV.Scathophaga stercoraria"
"MH","01PLANT.Hawthorn","02FV.Dilophus febrilis"
"MH","01PLANT.Creeping Buttercup","02FV.Pegoplata aestiva or Adia cinerella"
"MH","01PLANT.Hawthorn","02FV.Chlorops hypostigma"
"MH","01PLANT.Hawthorn","02FV.Platycheirus albimanus"
"MH","01PLANT.Bramble","02FV.Ichneumonidae"
"MH","01PLANT.Bramble","02FV.Syritta pipiens"
"MH","01PLANT.Creeping Thistle","02FV.Botanophila striolata"
"MH","01PLANT.Bramble","02FV.Bombus lapidarius"
"MH","01PLANT.Bramble","02FV.Cephus pygmaeus"
"MH","01PLANT.Bramble","02FV.Platycheirus nielseni"
"MH","01PLANT.Bramble","02FV.Sphaerophoria sp"
"MH","01PLANT.Hedge Woundwort","02FV.Bombus hortorum"
"NH","01PLANT.Wayfaring-tree","02FV.Empis livida"
"NH","01PLANT.Lesser Stitchwort","02FV.Empis livida"
"NH","01PLANT.Hedge Woundwort","02FV.Bombus hortorum"
"NH","01PLANT.Ragwort","02FV.Neomyia cornicina"
"NH","01PLANT.Ragwort","02FV.Eristalis arbustorum"
"NH","01PLANT.Ragwort","02FV.Botanophila fugax"
"NH","01PLANT.Ragwort","02FV.Platycheirus albimanus"
"NH","01PLANT.Ragwort","02FV.Syritta pipiens"
"NH","01PLANT.Ragwort","02FV.Lucilia richardsi"
"NH","01PLANT.Ragwort","02FV.Melinda viridicyanea"
"NH","01PLANT.Ragwort","02FV.Eriothrix rufomaculata"
"NH","01PLANT.Ragwort","02FV.Sphaerophoria sp"
"NH","01PLANT.Ragwort","02FV.Sphaerophoria scripta"
"NH","01PLANT.Ragwort","02FV.Eristalis pertinax"
"NH","01PLANT.Ragwort","02FV.Eupeodes corollae"
"NH","01PLANT.Ragwort","02FV.Sicus ferrugineus"
"NH","01PLANT.Ragwort","02FV.Sphaerophoria rueppellii"
"NH","01PLANT.Ragwort","02FV.Lucilia sericata"
"NH","01PLANT.Ragwort","02FV.Herina longistylata"
"NH","01PLANT.Ragwort","02FV.Neomyia viridescens"
"NH","01PLANT.Ragwort","02FV.Lucilia caesar"
"NH","01PLANT.Ragwort","02FV.Psocoptera sp"
"NH","01PLANT.Spear Thistle","02FV.Bombus pascuorum"
"NH","01PLANT.Sow-thistle sp","02FV.Sphaerophoria sp"
"NH","01PLANT.Ragwort","02FV.Calliphora vomitoria"
"NH","01PLANT.Clover sp","02FV.Bombus pascuorum"
"NH","01PLANT.Sow-thistle sp","02FV.Apis mellifera"
"NH","01PLANT.Creeping Thistle","02FV.Empis livida"
"NH","01PLANT.Creeping Thistle","02FV.Rhagonycha fulva"
"NH","01PLANT.Creeping Thistle","02FV.Chrysopilus asiliformis"
"NH","01PLANT.Wild Privet","02FV.Dolerus haematodes"
"NH","01PLANT.Wayfaring-tree","02FV.Pollenia pediculata"
"NH","01PLANT.Creeping Thistle","02FV.Helophilus pendulus"
"NH","01PLANT.Common Mouse-ear","02FV.Neomyia cornicina"
"NH","01PLANT.Creeping Thistle","02FV.Dilophus febrilis"
"NH","01PLANT.Dogwood","02FV.Empis livida"
"NH","01PLANT.Dogwood","02FV.Rhagio tringarius"
"NH","01PLANT.Creeping Buttercup","02FV.Oedemera nobilis"
"NH","01PLANT.Creeping Buttercup","02FV.Oscinella nitidissima"
"NH","01PLANT.Creeping Buttercup","02FV.Oedemera lurida"
"NH","01PLANT.Creeping Buttercup","02FV.Empis livida"
"NH","01PLANT.Creeping Buttercup","02FV.Scathophaga stercoraria"
"NH","01PLANT.Creeping Buttercup","02FV.Botanophila striolata"
"NH","01PLANT.Creeping Buttercup","02FV.Cheilosia albitarsis"
"NH","01PLANT.Creeping Buttercup","02FV.Cantharis nigra"
"NH","01PLANT.Creeping Buttercup","02FV.Cephus pygmaeus"
"NH","01PLANT.Spear Thistle","02FV.Empis livida"
"NH","01PLANT.Hogweed","02FV.Chloromyia formosa"
"NH","01PLANT.Hawthorn","02FV.Chlorops pumilionis"
"NH","01PLANT.Hawthorn","02FV.Platypalpus sp"
"NH","01PLANT.Hawthorn","02FV.Oedemera nobilis"
"NH","01PLANT.Hawthorn","02FV.Malachius bipustulatus"
"NH","01PLANT.Hawthorn","02FV.Delia sp"
"NH","01PLANT.Hawthorn","02FV.Andrena dorsata"
"NH","01PLANT.Hawthorn","02FV.Phyllonorycter sp"
"NH","01PLANT.Hawthorn","02FV.Platycheirus albimanus"
"NH","01PLANT.Common Mouse-ear","02FV.Platycheirus albimanus"
"NH","01PLANT.Creeping Buttercup","02FV.Glyphipterix simpliciella"
"NH","01PLANT.Common Mouse-ear","02FV.Torymus sp"
"NH","01PLANT.Creeping Buttercup","02FV.Platypalpus sp"
"NH","01PLANT.Common Mouse-ear","02FV.Empis livida"
"PP","01PLANT.Daisy","02FV.Empis livida"
"PP","01PLANT.Daisy","02FV.Oscinella nitidissima"
"PP","01PLANT.Daisy","02FV.Pegoplata aestiva or Adia cinerella"
"PP","01PLANT.Daisy","02FV.Scathophaga stercoraria"
"PP","01PLANT.Creeping Buttercup","02FV.Formicidae B"
"PP","01PLANT.Common Mouse-ear","02FV.Empis livida"
"PP","01PLANT.Creeping Buttercup","02FV.Pegoplata aestiva or Adia cinerella"
"PP","01PLANT.Clover sp","02FV.Bombus pratorum"
"PP","01PLANT.Clover sp","02FV.Bombus lapidarius"
"PP","01PLANT.Creeping Buttercup","02FV.Platycheirus albimanus"
"PP","01PLANT.Creeping Buttercup","02FV.Scathophaga stercoraria"
"PP","01PLANT.Creeping Buttercup","02FV.Hydrellia maura"
"PP","01PLANT.Creeping Buttercup","02FV.Sepsis fulgens"
"PP","01PLANT.Creeping Buttercup","02FV.Delia sp"
"PP","01PLANT.Creeping Buttercup","02FV.Rhagio tringarius"
"PP","01PLANT.Creeping Buttercup","02FV.Empis livida"
"PP","01PLANT.Creeping Buttercup","02FV.Lotophila atra"
"PP","01PLANT.Creeping Buttercup","02FV.Helina sp"
"PP","01PLANT.Creeping Buttercup","02FV.Rhagio notatus"
"PP","01PLANT.Clover sp","02FV.Bombus pascuorum"
"PP","01PLANT.Creeping Buttercup","02FV.Chloromyia formosa"
"PP","01PLANT.Creeping Buttercup","02FV.Oedemera nobilis"
"PP","01PLANT.Creeping Buttercup","02FV.Cantharis nigra"
"RG","01PLANT.Creeping Thistle","02FV.Tricimba cincta"
"RG","01PLANT.Clover sp","02FV.Bombus pascuorum"
"RG","01PLANT.Mayweed sp","02FV.Authonomus rubi"
"RG","01PLANT.Creeping Buttercup","02FV.Pegoplata aestiva or Adia cinerella"
"RG","01PLANT.Charlock","02FV.Pegoplata aestiva or Adia cinerella"
"RG","01PLANT.Creeping Buttercup","02FV.Opomyza petrei"
"RG","01PLANT.Creeping Buttercup","02FV.Siphona geniculata"
"RG","01PLANT.Mayweed sp","02FV.Scathophaga stercoraria"
"RG","01PLANT.Creeping Thistle","02FV.Scathophaga stercoraria"
"RG","01PLANT.Upright Hedge-parsley","02FV.Neomyia cornicina"
"RG","01PLANT.Upright Hedge-parsley","02FV.Coenosia tigrina"
"RG","01PLANT.Upright Hedge-parsley","02FV.Musca autumnalis"
"RG","01PLANT.Creeping Thistle","02FV.Lasioglossum sp"
"RG","01PLANT.Creeping Thistle","02FV.Neomyia cornicina"
"RG","01PLANT.Upright Hedge-parsley","02FV.Pollenia pediculata"
"RG","01PLANT.Upright Hedge-parsley","02FV.Ectemnius cephalotes"
"RG","01PLANT.Creeping Thistle","02FV.Delia sp"
"RG","01PLANT.Creeping Thistle","02FV.Dilophus febrilis"
"RG","01PLANT.Creeping Thistle","02FV.Sphaerophoria sp"
"RG","01PLANT.Hogweed","02FV.Botanophila striolata"
"RG","01PLANT.Hogweed","02FV.Sepsis orthocnemis"
"RG","01PLANT.Clover sp","02FV.Apis mellifera"
"RG","01PLANT.Clover sp","02FV.Bombus lapidarius"
"RG","01PLANT.Hedge Woundwort","02FV.Bombus hortorum"
"RG","01PLANT.Bramble","02FV.Empis livida"
"RG","01PLANT.Bramble","02FV.Bombus hortorum"
"RG","01PLANT.Bramble","02FV.Pegoplata aestiva or Adia cinerella"
"RG","01PLANT.Hogweed","02FV.Delia sp"
"RG","01PLANT.Creeping Buttercup","02FV.Dolichopus festivus"
"RG","01PLANT.Hogweed","02FV.Chlorops hypostigma"
"RG","01PLANT.Creeping Buttercup","02FV.Scathophaga stercoraria"
"RG","01PLANT.Hogweed","02FV.Empis livida"
"RG","01PLANT.Clover sp","02FV.Bombus pratorum"
"RG","01PLANT.Hogweed","02FV.Volucella bombylans"
"RG","01PLANT.Hogweed","02FV.Anthophila fabriciana"
"RG","01PLANT.Hogweed","02FV.Tiphia minuta"
"RG","01PLANT.Hogweed","02FV.Anaspis maculata"
"RG","01PLANT.Hogweed","02FV.Eristalis pertinax"
"RG","01PLANT.Hogweed","02FV.Pegoplata infirma"
"RG","01PLANT.Hogweed","02FV.Sepsis fulgens"
"RG","01PLANT.Hogweed","02FV.Cheilosia illustrata"
"RG","01PLANT.Hogweed","02FV.Pteromalidae"
"RG","01PLANT.Creeping Buttercup","02FV.Cephus pygmaeus"
"RG","01PLANT.Creeping Buttercup","02FV.Pegoplata infirma"
"RG","01PLANT.Creeping Buttercup","02FV.Botanophila striolata"
"RG","01PLANT.Creeping Buttercup","02FV.Lonchoptera lutea"
"RG","01PLANT.Creeping Buttercup","02FV.Empis livida"
"RG","01PLANT.Hogweed","02FV.Scathophaga stercoraria"
"RG","01PLANT.Creeping Buttercup","02FV.Chrysotus sp"
"RG","01PLANT.Creeping Buttercup","02FV.Melanostoma mellinum"
"RG","01PLANT.Creeping Buttercup","02FV.Opomyza germinationis"
"RG","01PLANT.Hogweed","02FV.Sepsis violacea"
"RG","01PLANT.Oil Seed Rape","02FV.Empis livida"
"RG","01PLANT.Oil Seed Rape","02FV.Syritta pipiens"
"RG","01PLANT.Oil Seed Rape","02FV.Neoascia podagrica"
"RG","01PLANT.Common Vetch","02FV.Empis livida"
"RG","01PLANT.Common Vetch","02FV.Bombus pascuorum"
"RG","01PLANT.Common Poppy","02FV.Empis livida"
"RG","01PLANT.Hogweed","02FV.Formicidae A"
"RG","01PLANT.Hogweed","02FV.Diplonevra sp"
"RG","01PLANT.Creeping Thistle","02FV.Heteronychia vagans"
"RG","01PLANT.Bindweed sp","02FV.Eupeodes luniger"
"RG","01PLANT.Creeping Thistle","02FV.Bombus terrestris"
"RG","01PLANT.Bindweed sp","02FV.Melanostoma mellinum"
"RG","01PLANT.Bindweed sp","02FV.Oedemera nobilis"
"RG","01PLANT.Creeping Thistle","02FV.Eriothrix rufomaculata"
"RG","01PLANT.Creeping Thistle","02FV.Anthomyza gracilis"
"RG","01PLANT.Creeping Buttercup","02FV.Oscinella nigerrima"
"RG","01PLANT.Creeping Thistle","02FV.Empis livida"
"RG","01PLANT.Clover sp","02FV.Oedemera nobilis"
"RG","01PLANT.Clover sp","02FV.Pegoplata aestiva or Adia cinerella"
"RG","01PLANT.Hogweed","02FV.Hemicrepidius hirtus"
"RG","01PLANT.Hogweed","02FV.Pionini sp"
"RG","01PLANT.Creeping Buttercup","02FV.Rhagonycha fulva"
"RG","01PLANT.Creeping Buttercup","02FV.Fannia sp"
"RG","01PLANT.Creeping Buttercup","02FV.Hemicrepidius hirtus"
"RG","01PLANT.Hogweed","02FV.Scaptomyza pallida"
"RG","01PLANT.Garlic Mustard","02FV.Simulium sp"
"RG","01PLANT.Creeping Thistle","02FV.Tetramesa sp"
"RG","01PLANT.Upright Hedge-parsley","02FV.Pegoplata infirma"
"RG","01PLANT.Upright Hedge-parsley","02FV.Platycheirus albimanus"
"RG","01PLANT.Upright Hedge-parsley","02FV.Episyrphus balteatus"
"RG","01PLANT.Upright Hedge-parsley","02FV.Cheilosia proxima"
"RG","01PLANT.Creeping Thistle","02FV.Melinda viridicyanea"
"RG","01PLANT.Creeping Thistle","02FV.Episyrphus balteatus"
"RG","01PLANT.Upright Hedge-parsley","02FV.Platycheirus clypeatus"
"RG","01PLANT.Creeping Thistle","02FV.Apis mellifera"
"RG","01PLANT.Creeping Thistle","02FV.Neomyia viridescens"
"RG","01PLANT.Bramble","02FV.Scathophaga stercoraria"
"RG","01PLANT.Bramble","02FV.Anaspis pulicaria"
"RG","01PLANT.Upright Hedge-parsley","02FV.Cheilosia proxima group sp. D"
"RG","01PLANT.Creeping Thistle","02FV.Anapausis soluta"
"RG","01PLANT.Creeping Thistle","02FV.Cheilosia honesta"
"RG","01PLANT.Upright Hedge-parsley","02FV.Oscinella nitidissima"
"RG","01PLANT.Upright Hedge-parsley","02FV.Cheilosia pagana"
"RG","01PLANT.Creeping Buttercup","02FV.Delia sp"
"RG","01PLANT.Creeping Buttercup","02FV.Hylemya vagans"
"RG","01PLANT.Hogweed","02FV.Glyphipterix simpliciella"
"RG","01PLANT.Creeping Buttercup","02FV.Malachius bipustulatus"
"RG","01PLANT.Creeping Buttercup","02FV.Chromatomyia nigra"
"WD","01PLANT.Woodruff","02FV.Hercostomus parvilamellatus"
"WD","01PLANT.Bramble","02FV.Chrysotus sp"
"WD","01PLANT.Bramble","02FV.Hylemya variata"
"WD","01PLANT.Bramble","02FV.Platycheirus albimanus"
"WD","01PLANT.Germander Speedwell","02FV.Hercostomus parvilamellatus"
"WD","01PLANT.Yellow Archangel","02FV.Rhingia campestris"
"WD","01PLANT.Yellow Archangel","02FV.Platycheirus albimanus"
"WD","01PLANT.Bramble","02FV.Eristalis pertinax"
"WD","01PLANT.Bugle","02FV.Rhingia campestris"
"WD","01PLANT.Herb Robert","02FV.Rhingia campestris"
"WD","01PLANT.Bramble","02FV.Baccha elongate"
"WD","01PLANT.Cleavers","02FV.Hylemya vagans"
"NL","01PLANT.Mayweed sp","02FV.Scathophaga stercoraria"
"NL","01PLANT.Mayweed sp","02FV.Pegoplata aestiva or Adia cinerella"
"NL","01PLANT.Clover sp","02FV.Bombus hortorum"
"NL","01PLANT.Creeping Buttercup","02FV.Platycheirus clypeatus"
"NL","01PLANT.Mayweed sp","02FV.Delia sp"
"NL","01PLANT.Mayweed sp","02FV.Eristalis tenax"
"NL","01PLANT.Mayweed sp","02FV.Sepsis fulgens"
"NL","01PLANT.Mayweed sp","02FV.Eudasyphora cyanella"
"NL","01PLANT.Mayweed sp","02FV.Scaptomyza pallida"
"NL","01PLANT.Mayweed sp","02FV.Syritta pipiens"
"NL","01PLANT.Mayweed sp","02FV.Phasia pusilla"
"NL","01PLANT.Mayweed sp","02FV.Pollenia pediculata"
"NL","01PLANT.Mayweed sp","02FV.Hylaeus communis"
"NL","01PLANT.Creeping Thistle","02FV.Empis livida"
"NL","01PLANT.Clover sp","02FV.Bombus pascuorum"
"NL","01PLANT.Clover sp","02FV.Scathophaga stercoraria"
